JURISDICTI,FACILITYID,JURISDICTI3,AnnualCF,avgCnx,Qadj_Qall,QJur_S,QJur_US
MISSION VIEJO,L04-136-1 (L04P07),MISSION VIEJO,9404628.749999998,0.635,5971939.256249999,NA,17249370.308589574
DANA POINT,DP01-12022-1,DANA POINT,868334.8210559998,1,868334.8210559998,NA,8353860.061753347
DANA POINT,DP06-12106-1,DANA POINT,10132558.919999998,0,0,NA,8353860.061753347
LAGUNA BEACH,I00-11518-1,LAGUNA BEACH,1256173.6139220125,0.5,628086.8069610063,NA,2847778.2348011
LAGUNA BEACH,I00-11518-1,ORANGE CO,42997.09672099562,0.5,21498.54836049781,NA,40026133.00551573
LAGUNA BEACH,I00-11518-2,LAGUNA BEACH,78406.9632,0.77,60373.361664000004,NA,2847778.2348011
LAGUNA BEACH,I01-11015-3,LAGUNA BEACH,88853.05756799997,0.885,78634.95594767999,NA,2847778.2348011
ALISO VIEJO,I01-11216-1 (I02P13),ALISO VIEJO,242321.03034286658,1,242321.03034286658,NA,NA
ALISO VIEJO,I01-11216-1 (I02P13),LAGUNA WOODS,409167.68979376415,1,409167.68979376415,NA,NA
ALISO VIEJO,I01-11216-2 (I02P12),ALISO VIEJO,242321.03034286658,1,242321.03034286658,NA,NA
ALISO VIEJO,I01-11216-3,ALISO VIEJO,242321.03034286658,1,242321.03034286658,NA,NA
ALISO VIEJO,I01-11216-3,LAGUNA WOODS,409167.68979376415,1,409167.68979376415,NA,NA
ALISO VIEJO,I01-11216-4 (I02P14),ALISO VIEJO,242321.03034286658,0.5,121160.51517143329,NA,NA
ALISO VIEJO,I01-11217-1,ALISO VIEJO,29132.848799999996,0.4,11653.139519999997,NA,NA
LAGUNA BEACH,I01-11487-2,LAGUNA BEACH,136803.8161368038,0.385,52669.469212669464,NA,2847778.2348011
ALISO VIEJO,I01-11502-1,LAGUNA BEACH,201248.6917213413,0.77,154961.49262543282,NA,NA
ALISO VIEJO,I01-11502-1,LAGUNA WOODS,407679.8072854232,0.77,313913.4516097759,NA,NA
ALISO VIEJO,I01-11503-5,ALISO VIEJO,241439.8629598016,0.77,185908.69447904726,NA,7882184.897115977
LAKE FOREST,J01-10004-2,LAKE FOREST,12361.377599999998,0,0,NA,1787360.7929253485
LAGUNA NIGUEL,J01-10041-2 (J03P13),LAGUNA HILLS,3953.0011814227073,0.77,3043.810909695485,NA,9902690.13337109
LAGUNA NIGUEL,J01-10041-2 (J03P13),LAGUNA NIGUEL,40788146.124026574,0.77,31406872.515500464,NA,89499620.8045663
LAKE FOREST,J01-9040-1,LAKE FOREST,910923.3862953706,1,910923.3862953706,NA,1787360.7929253485
LAKE FOREST,J01-9040-1,ORANGE CO,195.39485263892877,1,195.39485263892877,NA,40026133.00551573
LAKE FOREST,J01-9046-3,LAKE FOREST,393465.6,0.5,196732.8,NA,1787360.7929253485
MISSION VIEJO,J01-9066-1 (J01P04),LAKE FOREST,3379.9321614959995,0.7566666666666667,2557.4820021986397,NA,1787360.7929253485
MISSION VIEJO,J01-9066-1 (J01P04),MISSION VIEJO,115420.06613015999,0.7566666666666667,87334.5167051544,NA,17249370.308589574
MISSION VIEJO,J01-9066-2 (J01P03),LAKE FOREST,5574.126323304001,0.9233333333333333,5146.776638517361,NA,1787360.7929253485
MISSION VIEJO,J01-9066-2 (J01P03),MISSION VIEJO,675545.8739150881,0.9233333333333333,623754.023581598,NA,17249370.308589574
LAKE FOREST,J01-9259-3,LAKE FOREST,98522.77584486523,0,0,NA,1787360.7929253485
LAKE FOREST,J01-9264-1 (J01P06),LAKE FOREST,743899.3062288482,0.7566666666666667,562883.8083798285,NA,1787360.7929253485
LAKE FOREST,J01-9275-2,LAKE FOREST,168253.0898315604,0,0,NA,1787360.7929253485
LAKE FOREST,J01-9275-2,MISSION VIEJO,8806.430171980739,0,0,NA,17249370.308589574
ALISO VIEJO,J01-9313-1,ALISO VIEJO,825141.8476633145,0.7566666666666667,624357.3313985748,NA,7882184.897115977
ALISO VIEJO,J01-9313-1,ORANGE CO,6501.342672991296,0.7566666666666667,4919.349289230081,NA,40026133.00551573
LAKE FOREST,J01-9782-1 (J01TBN3),LAKE FOREST,8332.664661362762,0,0,NA,1787360.7929253485
LAKE FOREST,J01-9782-1 (J01TBN3),MISSION VIEJO,10029.063735250556,0,0,NA,17249370.308589574
LAGUNA NIGUEL,J03-9215-1,LAGUNA NIGUEL,771078.2595062836,0.77,593730.2598198383,NA,89499620.8045663
LAGUNA NIGUEL,J03-9216-2,LAGUNA NIGUEL,71663702.92189376,0.5675,40669151.40817471,NA,89499620.8045663
LAGUNA NIGUEL,J03-9216-2,SAN JUAN CAPISTRANO,107136.22736424366,0.5675,60799.80902920828,NA,25949197.872955047
LAGUNA NIGUEL,J03-9216-5,LAGUNA NIGUEL,771078.2595062836,0.385,296865.12990991917,NA,89499620.8045663
LAGUNA NIGUEL,J03-9234-5,LAGUNA NIGUEL,209424.39062399996,0.385,80628.39039023999,NA,NA
LAGUNA NIGUEL,J04-9249-1,ALISO VIEJO,1584519.7244443374,0.59,934866.637422159,NA,7882184.897115977
LAGUNA NIGUEL,J04-9249-1,LAGUNA HILLS,14108816.835173054,0.59,8324201.932752101,NA,9902690.13337109
LAGUNA NIGUEL,J04-9249-1,LAGUNA NIGUEL,3946200.3688381687,0.59,2328258.2176145194,NA,89499620.8045663
LAGUNA NIGUEL,K01-12036-1,LAGUNA NIGUEL,1438646.420736,0.885,1273202.08235136,NA,89499620.8045663
LAGUNA NIGUEL,K01-12062-1,LAGUNA NIGUEL,1971537.7340009979,0.885,1744810.894590883,NA,89499620.8045663
LAGUNA NIGUEL,K01-12062-1,SAN JUAN CAPISTRANO,71094.39681982914,0.885,62918.541185548784,NA,25949197.872955047
LAGUNA NIGUEL,K01-12155-1,LAGUNA NIGUEL,4198.9317599999995,0,0,NA,89499620.8045663
LAGUNA NIGUEL,K01-12156-1,LAGUNA NIGUEL,726858.7177424823,0.885,643269.9652020968,NA,89499620.8045663
RANCHO SANTA MARGARITA,L01-125-1,ORANGE CO,6781943.725991279,0.885,6002020.1975022815,NA,40026133.00551573
RANCHO SANTA MARGARITA,L01-125-1,RANCHO SANTA MARGARITA,32862696.32158228,0.885,29083486.24460032,NA,34981243.73386218
RANCHO SANTA MARGARITA,L01-125-3,ORANGE CO,5774.1854491333415,0.885,5110.154122483008,NA,40026133.00551573
RANCHO SANTA MARGARITA,L01-125-3,RANCHO SANTA MARGARITA,536580.3563875866,0.885,474873.6154030141,NA,34981243.73386218
RANCHO SANTA MARGARITA,L01-218-1,ORANGE CO,79274.39046719557,1,79274.39046719557,NA,40026133.00551573
RANCHO SANTA MARGARITA,L01-218-1,RANCHO SANTA MARGARITA,114927.21123472306,1,114927.21123472306,NA,34981243.73386218
RANCHO SANTA MARGARITA,L01-218-3,RANCHO SANTA MARGARITA,114927.21123472306,0.5,57463.60561736153,NA,34981243.73386218
ORANGE CO,L01-242-1 (L07P16),ORANGE CO,73842.22109234691,0.77,56858.51024110712,NA,40026133.00551573
ORANGE CO,L01-242-1 (L07P16),RANCHO SANTA MARGARITA,252.078919508178,0.77,194.10076802129706,NA,34981243.73386218
ORANGE CO,L01-261-1,ORANGE CO,24305.61026076394,1,24305.61026076394,NA,40026133.00551573
ORANGE CO,L01-261-1,RANCHO SANTA MARGARITA,36.19869850579994,1,36.19869850579994,NA,34981243.73386218
ORANGE CO,L01-303-1,ORANGE CO,79274.39046719557,0.5,39637.195233597784,NA,40026133.00551573
ORANGE CO,L01-303-2,ORANGE CO,1110049.92,0.77,854738.4384,NA,40026133.00551573
ORANGE CO,L01-303-3,ORANGE CO,79274.39046719557,0.77,61041.28065974058,NA,40026133.00551573
ORANGE CO,L01-372-1,ORANGE CO,222469.1625695234,0.5,111234.5812847617,NA,40026133.00551573
ORANGE CO,L01-391-3,ORANGE CO,197890.185024,0.77,152375.44246848,NA,40026133.00551573
ORANGE CO,L01-399-2,ORANGE CO,15857.856000000002,0.77,12210.549120000001,NA,40026133.00551573
ORANGE CO,L01-414-1,ORANGE CO,79274.39046719557,0,0,NA,40026133.00551573
ORANGE CO,L01-471-1,ORANGE CO,480230.13024000014,0.25,120057.53256000004,NA,40026133.00551573
ORANGE CO,L01-517-3,ORANGE CO,23006.88991731403,0.77,17715.305236331806,NA,40026133.00551573
ORANGE CO,L01-517-3,SAN JUAN CAPISTRANO,3479.7834880372966,0.77,2679.4332857887184,NA,25949197.872955047
SAN JUAN CAPISTRANO,L01-556-1,SAN JUAN CAPISTRANO,1887350.5725119999,0.885,1670305.25667312,NA,25949197.872955047
SAN JUAN CAPISTRANO,L01-602-2,SAN JUAN CAPISTRANO,184859.62294427896,0.385,71170.9548335474,NA,25949197.872955047
DANA POINT,L01-613-1,DANA POINT,96206.393088,1,96206.393088,NA,NA
SAN JUAN CAPISTRANO,L01-618-1,SAN JUAN CAPISTRANO,1289315.2319999998,0.5,644657.6159999999,NA,25949197.872955047
SAN JUAN CAPISTRANO,L01-618-2,SAN JUAN CAPISTRANO,184859.62294427896,0.385,71170.9548335474,NA,25949197.872955047
DANA POINT,L01-728-2,DANA POINT,81562.20043162198,0.5,40781.10021581099,NA,8353860.061753347
DANA POINT,L01-728-4,DANA POINT,109753.05600000001,0.77,84509.85312000001,NA,8353860.061753347
RANCHO SANTA MARGARITA,L01-730-1,ORANGE CO,47580.19545886755,0.885,42108.47298109778,NA,40026133.00551573
RANCHO SANTA MARGARITA,L01-730-1,RANCHO SANTA MARGARITA,323572.9239984406,0.885,286362.03773861995,NA,34981243.73386218
ORANGE CO,L01-733-2,ORANGE CO,1790689.8548648676,1,1790689.8548648676,NA,40026133.00551573
ORANGE CO,L01-733-2,RANCHO SANTA MARGARITA,15963.963539265493,1,15963.963539265493,NA,34981243.73386218
ORANGE CO,L01-733-7,ORANGE CO,267855.045696,0.77,206248.38518591996,NA,40026133.00551573
SAN JUAN CAPISTRANO,L01-747-1,SAN JUAN CAPISTRANO,716286.24,0.885,633913.3224,NA,25949197.872955047
SAN JUAN CAPISTRANO,L01-749-2d,SAN JUAN CAPISTRANO,1301285.1709440001,0.77,1001989.5816268801,NA,25949197.872955047
SAN JUAN CAPISTRANO,L01-749-5,SAN JUAN CAPISTRANO,133436.167776,1,133436.167776,NA,25949197.872955047
ORANGE CO,L02-344-2,ORANGE CO,6691275.993600001,0.77,5152282.515072,NA,40026133.00551573
ORANGE CO,L02-359-1 (L02P43),MISSION VIEJO,167541.63937611008,0.77,129007.06231960478,NA,17249370.308589574
ORANGE CO,L02-359-1 (L02P43),ORANGE CO,1481.524588509423,0.77,1140.7739331522557,NA,40026133.00551573
MISSION VIEJO,L02-366-1 (MVL02P14),MISSION VIEJO,168739.19999999998,0.77,129929.184,NA,17249370.308589574
MISSION VIEJO,L02-396-1,MISSION VIEJO,461944.1496231291,0.77,355696.99520980945,NA,17249370.308589574
MISSION VIEJO,L02-396-1,ORANGE CO,3360.216989293338,0.77,2587.3670817558705,NA,40026133.00551573
ORANGE CO,L02-401-2 (COL02P55),ORANGE CO,83148.70278326151,0,0,NA,40026133.00551573
SAN JUAN CAPISTRANO,L02-502-1,MISSION VIEJO,9126.729512943823,0.77,7027.581724966743,NA,17249370.308589574
SAN JUAN CAPISTRANO,L02-502-1,ORANGE CO,110787.49528418834,0.77,85306.37136882503,NA,40026133.00551573
SAN JUAN CAPISTRANO,L02-502-1,SAN JUAN CAPISTRANO,319659.1052454245,0.77,246137.5110389769,NA,25949197.872955047
SAN JUAN CAPISTRANO,L02-502-6,SAN JUAN CAPISTRANO,193167.92060469597,0.77,148739.2988656159,NA,25949197.872955047
SAN JUAN CAPISTRANO,L02-541-6,SAN JUAN CAPISTRANO,33283.43395199999,1,33283.43395199999,NA,25949197.872955047
SAN JUAN CAPISTRANO,L02-571-3,SAN JUAN CAPISTRANO,9661.905504,0.5,4830.952752,NA,25949197.872955047
RANCHO SANTA MARGARITA,L02-640-1 (L11P02),RANCHO SANTA MARGARITA,2083519.4970239997,0.885,1843914.7548662396,NA,34981243.73386218
MISSION VIEJO,L03-074-2,MISSION VIEJO,122277.6324,0.885,108215.70467400001,NA,NA
MISSION VIEJO,L03-141-1,MISSION VIEJO,474476.7766797698,0.77,365347.11804342276,NA,NA
MISSION VIEJO,L03-141-1,RANCHO SANTA MARGARITA,338187.47560823004,0.77,260404.35621833714,NA,NA
MISSION VIEJO,L03-141-2,MISSION VIEJO,93022.18329599997,0.77,71627.08113791999,NA,NA
MISSION VIEJO,L03-141-3,MISSION VIEJO,197430.30719999998,0.77,152021.33654399996,NA,NA
MISSION VIEJO,L03-172-3,MISSION VIEJO,164335.12803708197,0.77,126538.04858855312,NA,NA
LAGUNA NIGUEL,L03-418-2,LAGUNA NIGUEL,20791.079999999998,0.885,18400.105799999998,NA,89499620.8045663
LAGUNA NIGUEL,L03-455-5,LAGUNA NIGUEL,312403.79362694797,1,312403.79362694797,NA,89499620.8045663
LAGUNA NIGUEL,L03-455-5,SAN JUAN CAPISTRANO,40848.8094421705,1,40848.8094421705,NA,25949197.872955047
MISSION VIEJO,L04-266-1,MISSION VIEJO,36887.4000368874,1,36887.4000368874,NA,17249370.308589574
MISSION VIEJO,L04-301-1 (L04P08),MISSION VIEJO,573279.3792000001,0.77,441425.121984,NA,17249370.308589574
MISSION VIEJO,L04-702-1 (L04P02),LAGUNA HILLS,331759.1040833153,0.885,293606.8071137341,NA,9902690.13337109
ORANGE CO,L05-049-2,ORANGE CO,4426487.463456,1,4426487.463456,NA,NA
ORANGE CO,L05-489-4,ORANGE CO,7839700.852031999,1,7839700.852031999,NA,NA
LAGUNA BEACH,LC01-11446-1,LAGUNA BEACH,5465.941372850393,0,0,NA,2847778.2348011
LAGUNA BEACH,LC01-11446-1,ORANGE CO,7742.2648764454925,0,0,NA,40026133.00551573
ORANGE CO,LC01-11480-1,ORANGE CO,81658.58266169768,0.885,72267.84565560246,NA,40026133.00551573
LAGUNA BEACH,LC02-11508-2,LAGUNA BEACH,469355.5160640001,0.635,298040.75270064006,NA,2847778.2348011
LAGUNA BEACH,LC03-11515-1,LAGUNA BEACH,662860.7999999999,0.25666666666666665,170134.272,NA,2847778.2348011
LAGUNA BEACH,LC04-11199-1,LAGUNA BEACH,201248.6917213413,0.77,154961.49262543282,NA,2847778.2348011
SAN CLEMENTE,M00.1-071-2 (M00S04),SAN CLEMENTE,1147999.9167319997,0.77,883959.9358836397,NA,28199627.98556452
SAN CLEMENTE,M00.2-066-1 (M00S07),SAN CLEMENTE,227666.04497203665,0,0,NA,28199627.98556452
SAN CLEMENTE,M01-038-3,SAN CLEMENTE,84426.271488,0.77,65008.229045759996,NA,28199627.98556452
SAN CLEMENTE,M01-050-7,SAN CLEMENTE,63.669887999999986,0.5,31.834943999999993,NA,28199627.98556452
SAN CLEMENTE,M01-124-4,SAN CLEMENTE,9550.483199999999,0,0,NA,NA
SAN CLEMENTE,M02-013-1,SAN CLEMENTE,377174.4284839867,0.77,290424.3099326698,NA,NA
SAN CLEMENTE,M02-015-1,SAN CLEMENTE,302976.89150399994,0,0,NA,NA
SAN CLEMENTE,M02-028-2 (M02P08),ORANGE CO,749.3926402032724,0.385,288.5161664782599,NA,NA
SAN CLEMENTE,M02-028-2 (M02P08),SAN CLEMENTE,641250.0054394967,0.385,246881.25209420625,NA,NA
SAN CLEMENTE,M02-061-7,SAN CLEMENTE,7958736,0.77,6128226.72,NA,NA
SAN CLEMENTE,M02-102-1,ORANGE CO,26898.858897965805,0,0,NA,NA
SAN CLEMENTE,M02-102-1,SAN CLEMENTE,673469.9091650671,0,0,NA,NA
SAN CLEMENTE,SC01-077-1,SAN CLEMENTE,1273397.7599999998,0.75,955048.3199999997,NA,28199627.98556452
SAN CLEMENTE,SC01-077-2,SAN CLEMENTE,119381.03999999995,0.77,91923.40079999997,NA,28199627.98556452
SAN CLEMENTE,SC02-072-4,SAN CLEMENTE,377174.4284839867,0.77,290424.3099326698,NA,28199627.98556452
SAN CLEMENTE,SC06-146-1 (M00P02),SAN CLEMENTE,48023.013264115056,0.77,36977.72021336859,NA,28199627.98556452
SAN CLEMENTE,SC06-146-2 (M00P02),SAN CLEMENTE,669127.8052651209,0,0,NA,28199627.98556452
SAN CLEMENTE,SC07-079-4,SAN CLEMENTE,1732624.7859359994,1,1732624.7859359994,NA,28199627.98556452
SAN CLEMENTE,SC07-079-5,SAN CLEMENTE,9496220.537951998,0.885,8404155.17608752,NA,28199627.98556452
DANA POINT,SC10-075-1 (M00P05),DANA POINT,90388.33033752727,1,90388.33033752727,NA,8353860.061753347
DANA POINT,SC10-075-1 (M00P05),SAN CLEMENTE,10257.844353561777,1,10257.844353561777,NA,28199627.98556452
DANA POINT,SC10-075-3 (M00S01),DANA POINT,276825.6,1,276825.6,NA,8353860.061753347
SAN CLEMENTE,SM01-086-1 (M03P01),ORANGE CO,79572.41449150833,0.885,70421.58682498487,NA,40026133.00551573
SAN CLEMENTE,SM01-086-1 (M03P01),SAN CLEMENTE,377174.4284839867,0.885,333799.36920832825,NA,28199627.98556452
SAN CLEMENTE,SM01-086-2,SAN CLEMENTE,318349.44,0.77,245129.06879999998,NA,28199627.98556452
DANA POINT,SC11-130-2,DANA POINT,0,0.385,0,NA,8353860.061753347
LAGUNA NIGUEL,J03-9368-1 (J03TBN1),LAGUNA NIGUEL,0,0.8466666666666667,0,NA,89499620.8045663
LAGUNA NIGUEL,J03-9368-1 (J03TBN1),SAN JUAN CAPISTRANO,0,0.8466666666666667,0,NA,25949197.872955047
SAN JUAN CAPISTRANO,L03-455-2,SAN JUAN CAPISTRANO,0,1,0,NA,25949197.872955047
ORANGE CO,L01-458-1,ORANGE CO,0,0.385,0,NA,40026133.00551573
MISSION VIEJO,J07-9109-1,MISSION VIEJO,0,1,0,NA,17249370.308589574
ALISO VIEJO,J01-9144-4 (J01P26),ALISO VIEJO,0,0.59,0,NA,7882184.897115977
LAGUNA NIGUEL,J03-9368-2 (J03TBN2),LAGUNA NIGUEL,0,0.8466666666666667,0,NA,89499620.8045663
LAGUNA HILLS,J05-9800-2,LAGUNA HILLS,0,0.77,0,NA,9902690.13337109
LAGUNA BEACH,I01-11023-2,LAGUNA BEACH,0,0.385,0,NA,2847778.2348011
ALISO VIEJO,J01-9082-3,ALISO VIEJO,0,0.77,0,NA,7882184.897115977
ALISO VIEJO,J01-9082-3,ORANGE CO,0,0.77,0,NA,40026133.00551573
SAN JUAN CAPISTRANO,L01-766-4,SAN JUAN CAPISTRANO,0,0,0,NA,25949197.872955047
MISSION VIEJO,J07-9110-3,MISSION VIEJO,0,0.9233333333333333,0,NA,17249370.308589574
DANA POINT,DP01-12022-2,DANA POINT,0,0,0,NA,8353860.061753347
LAGUNA BEACH,I00-11453-1,LAGUNA BEACH,0,0.385,0,NA,2847778.2348011
LAGUNA BEACH,I01-11015-2,LAGUNA BEACH,0,0.635,0,NA,2847778.2348011
LAGUNA BEACH,I01-11015-2,ORANGE CO,0,0.635,0,NA,40026133.00551573
LAGUNA BEACH,I01-11023-3,LAGUNA BEACH,0,0.385,0,NA,2847778.2348011
LAGUNA BEACH,I01-11023-3,ORANGE CO,0,0.385,0,NA,40026133.00551573
LAGUNA BEACH,I01-11023-4,LAGUNA BEACH,0,0.385,0,NA,2847778.2348011
LAGUNA BEACH,I01-11023-5,LAGUNA BEACH,0,0.385,0,NA,2847778.2348011
LAGUNA BEACH,I01-11023-5,ORANGE CO,0,0.385,0,NA,40026133.00551573
LAGUNA BEACH,I01-11059-1,LAGUNA BEACH,0,0.385,0,NA,2847778.2348011
LAGUNA BEACH,I01-11059-2,LAGUNA BEACH,0,0.385,0,NA,2847778.2348011
LAGUNA BEACH,I01-11059-3,LAGUNA BEACH,0,0.385,0,NA,2847778.2348011
LAGUNA BEACH,I01-11065-1,LAGUNA BEACH,0,0.385,0,NA,2847778.2348011
LAGUNA BEACH,I01-11077-1,LAGUNA BEACH,0,0.385,0,NA,2847778.2348011
LAGUNA BEACH,I01-11077-1,ORANGE CO,0,0.385,0,NA,40026133.00551573
LAGUNA BEACH,I01-11077-2,LAGUNA BEACH,0,0.385,0,NA,2847778.2348011
LAGUNA BEACH,I01-11093-1,LAGUNA BEACH,0,0,0,NA,2847778.2348011
LAGUNA BEACH,I01-11093-1,ORANGE CO,0,0,0,NA,40026133.00551573
LAGUNA BEACH,I01-11093-2,LAGUNA BEACH,0,0.385,0,NA,2847778.2348011
LAGUNA BEACH,I01-11093-2,ORANGE CO,0,0.385,0,NA,40026133.00551573
LAGUNA BEACH,I01-11487-1,ALISO VIEJO,0,0.385,0,NA,7882184.897115977
LAGUNA BEACH,I01-11487-1,LAGUNA BEACH,0,0.385,0,NA,2847778.2348011
LAGUNA BEACH,I01-11487-1,LAGUNA WOODS,0,0.385,0,NA,0
LAGUNA BEACH,I01-11487-1,ORANGE CO,0,0.385,0,NA,40026133.00551573
ALISO VIEJO,I01-11503-3,ALISO VIEJO,0,0.77,0,NA,NA
LAKE FOREST,J01-10006-1,LAKE FOREST,0,0.77,0,NA,1787360.7929253485
MISSION VIEJO,J01-10012-3,MISSION VIEJO,0,0.77,0,NA,17249370.308589574
MISSION VIEJO,J01-10012-3,ORANGE CO,0,0.77,0,NA,40026133.00551573
MISSION VIEJO,J01-10012-3,RANCHO SANTA MARGARITA,0,0.77,0,NA,34981243.73386218
LAKE FOREST,J01-9275-1,LAKE FOREST,0,0,0,NA,1787360.7929253485
LAKE FOREST,J01-9275-1,MISSION VIEJO,0,0,0,NA,17249370.308589574
ORANGE CO,J01-9364-3 (J01P21),ALISO VIEJO,0,0.77,0,NA,7882184.897115977
ORANGE CO,J01-9364-3 (J01P21),LAGUNA NIGUEL,0,0.77,0,NA,89499620.8045663
ORANGE CO,J01-9364-3 (J01P21),ORANGE CO,0,0.77,0,NA,40026133.00551573
ORANGE CO,J01-9364-4,ALISO VIEJO,0,0,0,NA,7882184.897115977
ORANGE CO,J01-9364-4,ORANGE CO,0,0,0,NA,40026133.00551573
LAKE FOREST,J01-9377-2 (J01TBN8),LAKE FOREST,0,0.385,0,NA,1787360.7929253485
LAKE FOREST,J01-9377-2 (J01TBN8),MISSION VIEJO,0,0.385,0,NA,17249370.308589574
LAGUNA NIGUEL,J03-9216-1 (J03P01),LAGUNA NIGUEL,0,0.77,0,NA,89499620.8045663
LAGUNA HILLS,J05-9255-1 (J05P01),LAGUNA HILLS,0,0.77,0,NA,9902690.13337109
LAGUNA HILLS,J05-9271-6,LAGUNA HILLS,0,0.385,0,NA,9902690.13337109
MISSION VIEJO,J07-9022-6,MISSION VIEJO,0,0.385,0,NA,17249370.308589574
LAGUNA NIGUEL,K01-12156-3,LAGUNA NIGUEL,0,0.77,0,NA,89499620.8045663
ORANGE CO,L01-335-2,ORANGE CO,0,0,0,NA,40026133.00551573
ORANGE CO,L01-391-1,ORANGE CO,0,1,0,NA,40026133.00551573
ORANGE CO,L01-399-1,ORANGE CO,0,0.77,0,NA,40026133.00551573
ORANGE CO,L01-414-2,ORANGE CO,0,0.77,0,NA,40026133.00551573
SAN JUAN CAPISTRANO,L01-517-1,ORANGE CO,0,0.385,0,NA,40026133.00551573
SAN JUAN CAPISTRANO,L01-517-1,SAN JUAN CAPISTRANO,0,0.385,0,NA,25949197.872955047
SAN JUAN CAPISTRANO,L01-517-2,SAN JUAN CAPISTRANO,0,0,0,NA,25949197.872955047
ORANGE CO,L01-517-7,ORANGE CO,0,0.385,0,NA,40026133.00551573
SAN JUAN CAPISTRANO,L01-517-8,SAN JUAN CAPISTRANO,0,0,0,NA,25949197.872955047
SAN JUAN CAPISTRANO,L01-601-1,SAN JUAN CAPISTRANO,0,0,0,NA,25949197.872955047
SAN JUAN CAPISTRANO,L01-618-3,SAN JUAN CAPISTRANO,0,0.385,0,NA,25949197.872955047
SAN JUAN CAPISTRANO,L01-618-4,SAN JUAN CAPISTRANO,0,0,0,NA,25949197.872955047
SAN JUAN CAPISTRANO,L01-724-2,SAN JUAN CAPISTRANO,0,0.77,0,NA,25949197.872955047
DANA POINT,L01-726-2,DANA POINT,0,0.75,0,NA,8353860.061753347
DANA POINT,L01-726-3,SAN JUAN CAPISTRANO,0,0,0,NA,25949197.872955047
DANA POINT,L01-726-6,DANA POINT,0,0.385,0,NA,8353860.061753347
DANA POINT,L01-726-6,SAN JUAN CAPISTRANO,0,0.385,0,NA,25949197.872955047
DANA POINT,L01-726-7,SAN JUAN CAPISTRANO,0,0,0,NA,25949197.872955047
SAN JUAN CAPISTRANO,L01-726-8,SAN JUAN CAPISTRANO,0,0,0,NA,25949197.872955047
SAN JUAN CAPISTRANO,L01-726-9,SAN JUAN CAPISTRANO,0,0,0,NA,25949197.872955047
DANA POINT,L01-727-2,DANA POINT,0,0.385,0,NA,8353860.061753347
DANA POINT,L01-727-3,DANA POINT,0,0,0,NA,8353860.061753347
DANA POINT,L01-728-6,DANA POINT,0,0,0,NA,8353860.061753347
DANA POINT,L01-728-8d,DANA POINT,0,0.77,0,NA,8353860.061753347
DANA POINT,L01-728-9,DANA POINT,0,0.385,0,NA,8353860.061753347
ORANGE CO,L01-733-4,ORANGE CO,0,0,0,NA,40026133.00551573
ORANGE CO,L01-733-5,ORANGE CO,0,0,0,NA,40026133.00551573
SAN JUAN CAPISTRANO,L01-748-1,SAN JUAN CAPISTRANO,0,0.385,0,NA,25949197.872955047
SAN JUAN CAPISTRANO,L01-748-2,SAN JUAN CAPISTRANO,0,1,0,NA,25949197.872955047
SAN JUAN CAPISTRANO,L01-766-5,SAN JUAN CAPISTRANO,0,0.385,0,NA,25949197.872955047
SAN JUAN CAPISTRANO,L01-766-8,SAN JUAN CAPISTRANO,0,0,0,NA,25949197.872955047
ORANGE CO,L02-344-1,ORANGE CO,0,0,0,NA,40026133.00551573
ORANGE CO,L02-344-1,RANCHO SANTA MARGARITA,0,0,0,NA,34981243.73386218
ORANGE CO,L02-374-2 (MVL02P20),MISSION VIEJO,0,0.385,0,NA,17249370.308589574
ORANGE CO,L02-401-1,MISSION VIEJO,0,1,0,NA,17249370.308589574
ORANGE CO,L02-401-1,ORANGE CO,0,1,0,NA,40026133.00551573
SAN JUAN CAPISTRANO,L02-541-2,SAN JUAN CAPISTRANO,0,0,0,NA,25949197.872955047
SAN JUAN CAPISTRANO,L02-541-7,SAN JUAN CAPISTRANO,0,0.385,0,NA,25949197.872955047
SAN JUAN CAPISTRANO,L02-571-1,SAN JUAN CAPISTRANO,0,0,0,NA,25949197.872955047
SAN JUAN CAPISTRANO,L02-571-5 (L02TBN2),LAGUNA NIGUEL,0,0.75,0,NA,89499620.8045663
SAN JUAN CAPISTRANO,L02-571-5 (L02TBN2),SAN JUAN CAPISTRANO,0,0.75,0,NA,25949197.872955047
RANCHO SANTA MARGARITA,L02-622-1 (L02P28),RANCHO SANTA MARGARITA,0,0.77,0,NA,34981243.73386218
LAGUNA NIGUEL,L03-418-3,LAGUNA NIGUEL,0,0,0,NA,89499620.8045663
SAN JUAN CAPISTRANO,L03-455-3 (L03P37),LAGUNA NIGUEL,0,0,0,NA,89499620.8045663
SAN JUAN CAPISTRANO,L03-455-3 (L03P37),MISSION VIEJO,0,0,0,NA,17249370.308589574
SAN JUAN CAPISTRANO,L03-455-3 (L03P37),SAN JUAN CAPISTRANO,0,0,0,NA,25949197.872955047
SAN JUAN CAPISTRANO,L03-455-4,SAN JUAN CAPISTRANO,0,0.75,0,NA,25949197.872955047
LAGUNA NIGUEL,L03-455-6,LAGUNA NIGUEL,0,0,0,NA,89499620.8045663
LAGUNA NIGUEL,L03-455-6,MISSION VIEJO,0,0,0,NA,17249370.308589574
LAGUNA NIGUEL,L03-455-6,SAN JUAN CAPISTRANO,0,0,0,NA,25949197.872955047
