FACILITYID,JURISDICTI3,Qadj_Qall,QJur_US,QJur_S
K01-12156-3,LAGUNA NIGUEL,0,89499620.8045663,NA
L01-335-2,ORANGE CO,0,40026133.00551573,NA
L01-391-1,ORANGE CO,0,40026133.00551573,NA
L01-399-1,ORANGE CO,0,40026133.00551573,NA
L01-414-2,ORANGE CO,0,40026133.00551573,NA
L01-517-1,ORANGE CO,0,40026133.00551573,NA
L01-517-1,SAN JUAN CAPISTRANO,0,25949197.872955047,NA
L01-517-2,SAN JUAN CAPISTRANO,0,25949197.872955047,NA
L01-517-7,ORANGE CO,0,40026133.00551573,NA
L01-517-8,SAN JUAN CAPISTRANO,0,25949197.872955047,NA
L01-601-1,SAN JUAN CAPISTRANO,0,25949197.872955047,NA
L01-618-3,SAN JUAN CAPISTRANO,0,25949197.872955047,NA
L01-618-4,SAN JUAN CAPISTRANO,0,25949197.872955047,NA
L01-724-2,SAN JUAN CAPISTRANO,0,25949197.872955047,NA
L01-726-2,DANA POINT,0,8353860.061753347,NA
L01-726-3,SAN JUAN CAPISTRANO,0,25949197.872955047,NA
L01-726-6,DANA POINT,0,8353860.061753347,NA
L01-726-6,SAN JUAN CAPISTRANO,0,25949197.872955047,NA
L01-726-7,SAN JUAN CAPISTRANO,0,25949197.872955047,NA
L01-726-8,SAN JUAN CAPISTRANO,0,25949197.872955047,NA
L01-726-9,SAN JUAN CAPISTRANO,0,25949197.872955047,NA
L01-727-2,DANA POINT,0,8353860.061753347,NA
L01-727-3,DANA POINT,0,8353860.061753347,NA
L01-728-6,DANA POINT,0,8353860.061753347,NA
L01-728-8d,DANA POINT,0,8353860.061753347,NA
L01-728-9,DANA POINT,0,8353860.061753347,NA
L01-733-4,ORANGE CO,0,40026133.00551573,NA
L01-733-5,ORANGE CO,0,40026133.00551573,NA
L01-748-1,SAN JUAN CAPISTRANO,0,25949197.872955047,NA
L01-748-2,SAN JUAN CAPISTRANO,0,25949197.872955047,NA
L01-766-5,SAN JUAN CAPISTRANO,0,25949197.872955047,NA
L01-766-8,SAN JUAN CAPISTRANO,0,25949197.872955047,NA
L02-344-1,ORANGE CO,0,40026133.00551573,NA
L02-344-1,RANCHO SANTA MARGARITA,0,34981243.73386218,NA
L02-374-2 (MVL02P20),MISSION VIEJO,0,17249370.308589574,NA
L02-401-1,MISSION VIEJO,0,17249370.308589574,NA
L02-401-1,ORANGE CO,0,40026133.00551573,NA
L02-541-2,SAN JUAN CAPISTRANO,0,25949197.872955047,NA
L02-541-7,SAN JUAN CAPISTRANO,0,25949197.872955047,NA
L02-571-1,SAN JUAN CAPISTRANO,0,25949197.872955047,NA
L02-571-5 (L02TBN2),LAGUNA NIGUEL,0,89499620.8045663,NA
L02-571-5 (L02TBN2),SAN JUAN CAPISTRANO,0,25949197.872955047,NA
L02-622-1 (L02P28),RANCHO SANTA MARGARITA,0,34981243.73386218,NA
L03-418-3,LAGUNA NIGUEL,0,89499620.8045663,NA
L03-455-3 (L03P37),LAGUNA NIGUEL,0,89499620.8045663,NA
L03-455-3 (L03P37),MISSION VIEJO,0,17249370.308589574,NA
L03-455-3 (L03P37),SAN JUAN CAPISTRANO,0,25949197.872955047,NA
L03-455-4,SAN JUAN CAPISTRANO,0,25949197.872955047,NA
L03-455-6,LAGUNA NIGUEL,0,89499620.8045663,NA
L03-455-6,MISSION VIEJO,0,17249370.308589574,NA
L03-455-6,SAN JUAN CAPISTRANO,0,25949197.872955047,NA
L03-497-1,LAGUNA NIGUEL,0,89499620.8045663,NA
L03-497-1,SAN JUAN CAPISTRANO,0,25949197.872955047,NA
L03-708-5,LAGUNA NIGUEL,0,89499620.8045663,NA
L03-708-5,MISSION VIEJO,0,17249370.308589574,NA
L04-702-4,LAGUNA HILLS,0,9902690.13337109,NA
L04-702-4,MISSION VIEJO,0,17249370.308589574,NA
LC02-11508-3,LAGUNA BEACH,0,2847778.2348011,NA
LC02-11508-3,ORANGE CO,0,40026133.00551573,NA
LC05-11017-1,LAGUNA BEACH,0,2847778.2348011,NA
M01-002-1,ORANGE CO,0,40026133.00551573,NA
M01-003-1,ORANGE CO,0,40026133.00551573,NA
M01-003-2,ORANGE CO,0,40026133.00551573,NA
M01-168-1d (M00P03),DANA POINT,0,8353860.061753347,NA
M01-168-2d (M00P03),DANA POINT,0,8353860.061753347,NA
M02-061-5,SAN CLEMENTE,0,28199627.98556452,NA
M02-142-1,SAN CLEMENTE,0,28199627.98556452,NA
SC02-072-1,SAN CLEMENTE,0,28199627.98556452,NA
SC03-067-1,SAN CLEMENTE,0,28199627.98556452,NA
SC05-073-1,SAN CLEMENTE,0,28199627.98556452,NA
SC05-073-3,SAN CLEMENTE,0,28199627.98556452,NA
SC11-035-1d,DANA POINT,0,8353860.061753347,NA
SC11-035-2d,DANA POINT,0,8353860.061753347,NA
SC11-035-3d,DANA POINT,0,8353860.061753347,NA
SC12-068-2,SAN CLEMENTE,0,28199627.98556452,NA
SC12-068-4,SAN CLEMENTE,0,28199627.98556452,NA
