FACILITYID,Jurisdiction,Qcalcs,AVGDISCHARGE,QInscfs,AVGQadj,Q4calcs,QInscf,Qcont4calc2023,Qcont4calcPrior,Qcf2023,Qcfp2022,Qboth,Q4calcsall,JURISDICTI3,PERCENTAGE,area_acres,AREA,DischargePCF2,DischargePCF3,avgCnx,PERSISTENTFLOW,MonitoringYear,rain_gage,dry_days,Qadj_Qall
L01-494-1,ORANGE CO,0.038,0.095255,0.054,0.06572595,0.054,4665.5999999999995,NA,NA,NA,NA,NA,4665.5999999999995,ORANGE CO,100,298.6999359,298.7002,4665.5999999999995,4665.5999999999995,0.77,Yes,MY2022-23,PALISADES,267,959200.7039999999
L03-455-7,LAGUNA NIGUEL,0.004,0.052896,0.01019789,0.036498239999999994,0.01019789,881.097696,NA,0.02795114971216852,NA,2414.97933513136,1648.03851556568,1648.03851556568,LAGUNA NIGUEL,85.95696177,64.2143521,55.19675488,1416.6038367796673,1416.6038367796673,1,Yes,MY2022-23,SULPHURCREEK,279,395232.4704615272
L03-455-7,LAGUNA NIGUEL,0.004,0.052896,0.01019789,0.036498239999999994,0.01019789,881.097696,NA,0.02795114971216852,NA,2414.97933513136,1648.03851556568,1648.03851556568,SAN JUAN CAPISTRANO,14.04303869,64.2143521,9.017654281,231.4346863669901,231.4346863669901,1,Yes,MY2022-23,SULPHURCREEK,279,64570.277496390234
L01-340-1,ORANGE CO,0.016333333333333335,0.051357,0.017110069999999998,0.035436329999999995,0.017110069999999998,1478.310048,NA,0.012154513888888888,NA,1050.15,1264.230024,1264.230024,ORANGE CO,98.78639742,169.47171779,167.4151527,1248.8872958116015,1248.8872958116015,0.885,Yes,MY2022-23,TRABUCO,266,294000.5583070091
L01-340-1,ORANGE CO,0.016333333333333335,0.051357,0.017110069999999998,0.035436329999999995,0.017110069999999998,1478.310048,NA,0.012154513888888888,NA,1050.15,1264.230024,1264.230024,RANCHO SANTA MARGARITA,1.213602575,169.47171779,2.05671495,15.342728125187115,15.342728125187115,0.885,Yes,MY2022-23,TRABUCO,266,3611.8316279502988
J01-9046-2,LAKE FOREST,1.25e-4,0.099449,5e-4,0.06861980999999999,5e-4,43.199999999999996,0.002,NA,172.79999999999998,NA,NA,172.79999999999998,LAKE FOREST,99.38641043,46.36377902,46.07933644,171.73971722303997,171.73971722303997,0.25666666666666665,Unknown,MY2022-23,ELTORO,275,12121.961707326238
J01-9046-2,LAKE FOREST,1.25e-4,0.099449,5e-4,0.06861980999999999,5e-4,43.199999999999996,0.002,NA,172.79999999999998,NA,NA,172.79999999999998,MISSION VIEJO,0.613590663,46.36377902,0.284484071,1.060284665664,1.060284665664,0.25666666666666665,Unknown,MY2022-23,ELTORO,275,74.838425984784
J01-10019-1 (J01P33),ALISO VIEJO,0.001142857142857143,0.007265,NA,0.005012849999999999,0.001142857142857143,98.74285714285716,NA,NA,NA,NA,NA,98.74285714285716,ALISO VIEJO,100,72.93906351,72.93912799,98.74285714285716,98.74285714285716,0.77,Yes,MY2022-23,SULPHURCREEK,279,21212.928000000004
L01-335-1,ORANGE CO,0.0025,0.013073,0.01278777,0.00902037,0.01278777,1104.863328,NA,NA,NA,NA,NA,1104.863328,ORANGE CO,79.80262992,442.4725473,353.1050416,881.7099927656357,881.7099927656357,0.385,Yes,MY2022-23,TRABUCO,266,90295.92035912875
L01-335-1,ORANGE CO,0.0025,0.013073,0.01278777,0.00902037,0.01278777,1104.863328,NA,NA,NA,NA,NA,1104.863328,RANCHO SANTA MARGARITA,20.19737008,442.4725473,89.36789689,223.15333523436425,223.15333523436425,0.385,Yes,MY2022-23,TRABUCO,266,22853.133061351244
K01-12058-2 (K01P09),LAGUNA NIGUEL,0.0461,0.12576,0.073585686,0.0867744,0.073585686,6357.8032704,NA,NA,NA,NA,NA,6357.8032704,LAGUNA NIGUEL,97.02723437,303.05249515,294.0437147,6168.800679954533,6168.800679954533,0.9342857142857143,Yes,MY2022-23,SULPHURCREEK,279,1607994.835526548
K01-12058-2 (K01P09),LAGUNA NIGUEL,0.0461,0.12576,0.073585686,0.0867744,0.073585686,6357.8032704,NA,NA,NA,NA,NA,6357.8032704,SAN JUAN CAPISTRANO,2.9727657,303.05249515,9.009048593,189.00259489592943,189.00259489592943,0.9342857142857143,Yes,MY2022-23,SULPHURCREEK,279,49266.49640040094
L01-618-5 (L01S09),SAN JUAN CAPISTRANO,NA,0.180631,0.6831641699999998,0.12463539,0.6831641699999998,59025.38428799999,NA,NA,NA,NA,NA,59025.38428799999,SAN JUAN CAPISTRANO,100,393.00595298,393.0063004,59025.38428799999,59025.38428799999,1,Yes,MY2022-23,PALISADES,267,15759777.604895996
L03-214-2 (L03P18),MISSION VIEJO,0.17025,0.596516,0.44837974333333336,0.41159604,0.44837974333333336,38740.009824,NA,0.4154220571388889,NA,35892.465736800004,37316.2377804,37316.2377804,MISSION VIEJO,95.45320027,1483.91003393,1416.440869,35619.54318175461,35619.54318175461,1,Yes,MY2022-23,ELTORO,275,9795374.37498252
L03-214-2 (L03P18),MISSION VIEJO,0.17025,0.596516,0.44837974333333336,0.41159604,0.44837974333333336,38740.009824,NA,0.4154220571388889,NA,35892.465736800004,37316.2377804,37316.2377804,RANCHO SANTA MARGARITA,4.546799732,1483.91003393,67.47047709,1696.69459939171,1696.69459939171,1,Yes,MY2022-23,ELTORO,275,466591.0148327202
J07-9109-4 (J07P02),MISSION VIEJO,0.014307692307692308,0.186781,0.043604076,0.12887889,0.043604076,3767.3921664,0.004,NA,345.59999999999997,NA,NA,345.59999999999997,LAKE FOREST,1.275132081,394.92574829,5.035829366,4.406856471935999,4.406856471935999,0.885,Yes,MY2022-23,ELTORO,275,1072.5186938574238
J07-9109-4 (J07P02),MISSION VIEJO,0.014307692307692308,0.186781,0.043604076,0.12887889,0.043604076,3767.3921664,0.004,NA,345.59999999999997,NA,NA,345.59999999999997,MISSION VIEJO,98.72486798,394.92574829,389.8902683,341.19314373887994,341.19314373887994,0.885,Yes,MY2022-23,ELTORO,275,83037.8813574499
L03-662-1,MISSION VIEJO,0.006,0.022101,0.006,0.015249689999999998,0.006,518.4,NA,NA,NA,NA,NA,518.4,MISSION VIEJO,100,86.29094428,86.2910206,518.4,518.4,1,Yes,MY2022-23,ELTORO,275,142560
K01-12177-1 (K01P07),LAGUNA NIGUEL,0.0644,0.254271,0.086,0.17544699,0.086,7430.4,NA,0.35064829731423613,NA,30296.012887950004,18863.206443975003,18863.206443975003,LAGUNA NIGUEL,100,512.43104875,512.4315018,18863.206443975003,18863.206443975003,0.885,Yes,MY2022-23,SULPHURCREEK,279,4657608.619114088
M02-052-3,SAN CLEMENTE,0.002,0.100222,0.01993341,0.06915318,0.01993341,1722.246624,NA,0.1455037037037037,NA,12571.519999999999,7146.883311999999,7146.883311999999,SAN CLEMENTE,100,178.5046065,178.5047643,7146.883311999999,7146.883311999999,1,Yes,MY2022-23,PALISADES,267,1908217.8443039998
J01-9005-3,LAGUNA NIGUEL,0.017875000000000002,0.303774,NA,0.20960405999999998,0.017875000000000002,1544.4,NA,NA,NA,NA,NA,1544.4,LAGUNA HILLS,1.384801424,201.89063791,2.7957869,21.386873192255997,21.386873192255997,0.635,Yes,MY2022-23,SULPHURCREEK,279,3789.005389106034
J01-9005-3,LAGUNA NIGUEL,0.017875000000000002,0.303774,NA,0.20960405999999998,0.017875000000000002,1544.4,NA,NA,NA,NA,NA,1544.4,LAGUNA NIGUEL,98.6151983,201.89063791,199.0950289,1523.0131225452,1523.0131225452,0.635,Yes,MY2022-23,SULPHURCREEK,279,269824.6198557204
J03-9234-6,LAGUNA NIGUEL,0.04566666666666667,1.108261,0.1147496,0.7647000899999999,0.1147496,9914.365440000001,0.037,NA,3196.7999999999997,NA,NA,3196.7999999999997,LAGUNA NIGUEL,99.27752823,232.09078171,230.414195,3173.70402245664,3173.70402245664,0.59,Yes,MY2022-23,SULPHURCREEK,279,522423.4191365875
J03-9234-6,LAGUNA NIGUEL,0.04566666666666667,1.108261,0.1147496,0.7647000899999999,0.1147496,9914.365440000001,0.037,NA,3196.7999999999997,NA,NA,3196.7999999999997,SAN JUAN CAPISTRANO,0.722471579,232.09078171,1.676791419,23.095971437472,23.095971437472,0.59,Yes,MY2022-23,SULPHURCREEK,279,3801.8278583222655
M02-061-4 (SCBS@M02),SAN CLEMENTE,0.002,0.016817,0.018287069999999996,0.011603729999999998,0.018287069999999996,1580.0028479999996,NA,NA,NA,NA,NA,1580.0028479999996,SAN CLEMENTE,100,90.38163929,90.38171919,1580.0028479999996,1580.0028479999996,0.885,Yes,MY2022-23,PALISADES,267,373346.77296815993
L03-316-1,MISSION VIEJO,0.00825,0.036202,0.0015,0.024979379999999995,0.0015,129.6,NA,NA,NA,NA,NA,129.6,MISSION VIEJO,100,22.65150986,22.65152989,129.6,129.6,0.635,Yes,MY2022-23,ELTORO,275,22631.399999999998
J03-9215-3,LAGUNA NIGUEL,0.0154,0.04731,0.06563211,0.032643899999999997,0.06563211,5670.614304,0.029,NA,2505.6000000000004,NA,NA,2505.6000000000004,LAGUNA NIGUEL,100,155.28755892,155.2876962,2505.6000000000004,2505.6000000000004,0.8466666666666667,Yes,MY2022-23,SULPHURCREEK,279,591872.832
L03-316-4,MISSION VIEJO,0.0023333333333333335,0.019996,0.0035,0.013797239999999999,0.0035,302.4,NA,NA,NA,NA,NA,302.4,MISSION VIEJO,100,44.10840687,NA,302.4,302.4,0.885,Yes,MY2022-23,ELTORO,275,73596.59999999999
J01-9082-4,ALISO VIEJO,0.0077,0.023004,0.017333333333333333,0.01587276,0.017333333333333333,1497.6000000000001,0.026,NA,2246.3999999999996,NA,NA,2246.3999999999996,ALISO VIEJO,97.84740395,124.66076066,121.9774259,2198.0440823328,2198.0440823328,0.77,Yes,MY2022-23,SULPHURCREEK,279,472205.8102075554
J01-9082-4,ALISO VIEJO,0.0077,0.023004,0.017333333333333333,0.01587276,0.017333333333333333,1497.6000000000001,0.026,NA,2246.3999999999996,NA,NA,2246.3999999999996,ORANGE CO,2.152595119,124.66076066,2.683443822,48.355896753215994,48.355896753215994,0.77,Yes,MY2022-23,SULPHURCREEK,279,10388.297299493393
L03-708-13,LAGUNA NIGUEL,0.007,0.056238,0.09127285499999999,0.03880422,0.09127285499999999,7885.974671999999,NA,0.012916666666666667,NA,1116,4500.987336,4500.987336,MISSION VIEJO,100,64.06432828,64.06438492,4500.987336,4500.987336,1,Yes,MY2022-23,SULPHURCREEK,279,1255775.466744
J01-9008-1 (J01P30),ALISO VIEJO,0.02542857142857143,0.05744,0.0295,0.0396336,0.0295,2548.8,NA,NA,NA,NA,NA,2548.8,ALISO VIEJO,100,211.57209037,211.5722774,2548.8,2548.8,1,Yes,MY2022-23,SULPHURCREEK,279,711115.2000000001
J01-9005-1 (J03P05),LAGUNA NIGUEL,0.012714285714285714,0.034405,0.028750229999999998,0.023739449999999995,0.028750229999999998,2484.019872,0.009,NA,777.5999999999999,NA,NA,777.5999999999999,LAGUNA NIGUEL,100,127.79044152,127.7905545,777.5999999999999,777.5999999999999,0.9233333333333333,Yes,MY2022-23,SULPHURCREEK,279,200317.536
L01-760-2,ORANGE CO,0.0655,0.075871,0.06021837,0.05235098999999999,0.06021837,5202.867168000001,NA,0.022335069444444446,NA,1929.75,3566.3085840000003,3566.3085840000003,ORANGE CO,100,32.57431395,32.57434275,3566.3085840000003,3566.3085840000003,1,Yes,MY2022-23,TRABUCO,266,948638.083344
SC09-081-2d,SAN CLEMENTE,0.031,0.075564,0.058092664999999995,0.05213916,0.058092664999999995,5019.2062559999995,NA,NA,NA,NA,NA,5019.2062559999995,SAN CLEMENTE,100,NA,NA,5019.2062559999995,5019.2062559999995,1,Unknown,MY2022-23,PALISADES,267,1340128.070352
L03-241-3,MISSION VIEJO,0.141,0.329327,0.134256,0.22723562999999997,0.134256,11599.718399999998,NA,NA,NA,NA,NA,11599.718399999998,MISSION VIEJO,100,722.06959077,NA,11599.718399999998,11599.718399999998,0.885,Yes,MY2022-23,ELTORO,275,2823081.4655999993
L01-728-5 (L01-DP),DANA POINT,0.0064,0.011925,0.007295779999999999,0.00822825,0.007295779999999999,630.3553919999999,NA,NA,NA,NA,NA,630.3553919999999,DANA POINT,100,24.72372499,24.72374684,630.3553919999999,630.3553919999999,0.4,Yes,MY2022-23,DANAPOINT,263,66313.3872384
J01-9349-1,LAKE FOREST,1.1111111111111112e-4,0.005148,NA,0.0035521199999999998,1.1111111111111112e-4,9.600000000000001,NA,NA,NA,NA,NA,9.600000000000001,LAKE FOREST,99.85177608,69.7067491,69.60348856,9.585770503680001,9.585770503680001,0.77,Unknown,MY2022-23,ELTORO,275,2029.7869041542401
J01-9349-1,LAKE FOREST,1.1111111111111112e-4,0.005148,NA,0.0035521199999999998,1.1111111111111112e-4,9.600000000000001,NA,NA,NA,NA,NA,9.600000000000001,MISSION VIEJO,0.14822366,69.7067491,0.103321986,0.014229471360000003,0.014229471360000003,0.77,Unknown,MY2022-23,ELTORO,275,3.0130905604800007
L03-316-2,MISSION VIEJO,0.004,0.023061,0.006,0.01591209,0.006,518.4,NA,NA,NA,NA,NA,518.4,MISSION VIEJO,100,143.04145576,143.0415822,518.4,518.4,0.7566666666666667,Yes,MY2022-23,ELTORO,275,107870.4
L01-749-3,SAN JUAN CAPISTRANO,0.003,0,0.003,0,0.003,259.2,NA,NA,NA,NA,NA,259.2,SAN JUAN CAPISTRANO,100,41.93011742,41.93015449,259.2,259.2,0.385,Unknown,MY2022-23,PALISADES,267,26644.464
J01-10004-1 (J01P01),LAKE FOREST,0.053375,0.317684,0.1282615825,0.21920196,0.1282615825,11081.800728,0.044,NA,3801.5999999999995,NA,NA,3801.5999999999995,LAKE FOREST,97.22901103,479.88775953,466.5905351,3696.2580833164793,3696.2580833164793,0.97125,Yes,MY2022-23,ELTORO,275,987247.432440811
L02-541-9 (L02P02),SAN JUAN CAPISTRANO,0.004,0.048641,NA,0.033562289999999995,0.004,345.59999999999997,NA,NA,NA,NA,NA,345.59999999999997,SAN JUAN CAPISTRANO,100,222.36515452,222.3653511,345.6,345.6,0.385,Yes,MY2022-23,PALISADES,267,35525.952000000005
L05-489-7,ORANGE CO,0.02575,0.093075,0.031,0.06422175,0.031,2678.3999999999996,NA,0.031299802123205524,NA,2704.3029034449573,2691.3514517224785,2691.3514517224785,ORANGE CO,100,92.32955997,92.32964159,2691.3514517224785,2691.3514517224785,0.885,Yes,MY2022-23,SULPHURCREEK,279,664535.0437020557
I01-11195-2,ALISO VIEJO,0.08,0.325428,0.21853749999999997,0.22454532,0.21853749999999997,18881.64,NA,NA,NA,NA,NA,18881.64,ALISO VIEJO,100,NA,NA,18881.64,18881.64,0.885,Yes,MY2022-23,LAGUNABEACH,274,4578608.8836
L01-728-3 (L01S02),DANA POINT,0.017,0.426948,0.22153519499999996,0.29459411999999996,0.22153519499999996,19140.640847999995,NA,0.032533325527171295,NA,2810.8793255476,10975.760086773798,10975.760086773798,DANA POINT,8.724176507,1014.01862168,88.46485258,957.5446829550025,957.5446829550025,1,Yes,MY2022-23,DANAPOINT,263,251834.25161716566
L01-728-3 (L01S02),DANA POINT,0.017,0.426948,0.22153519499999996,0.29459411999999996,0.22153519499999996,19140.640847999995,NA,0.032533325527171295,NA,2810.8793255476,10975.760086773798,10975.760086773798,SAN CLEMENTE,0.203472958,1014.01862168,2.063255511,22.332703711542017,22.332703711542017,1,Yes,MY2022-23,DANAPOINT,263,5873.501076135551
L01-728-3 (L01S02),DANA POINT,0.017,0.426948,0.22153519499999996,0.29459411999999996,0.22153519499999996,19140.640847999995,NA,0.032533325527171295,NA,2810.8793255476,10975.760086773798,10975.760086773798,SAN JUAN CAPISTRANO,91.07235047,1014.01862168,923.4914094,9995.88269297301,9995.88269297301,1,Yes,MY2022-23,DANAPOINT,263,2628917.1482519014
L02-641-2,RANCHO SANTA MARGARITA,0.058666666666666666,0.339039,0.07033333333333333,0.23393690999999997,0.07033333333333333,6076.799999999999,NA,0.017329861111111112,NA,1497.3000000000002,NA,1497.3000000000002,ORANGE CO,0.587888306,926.34500026,5.44587874,8.802451605738,8.802451605738,0.9233333333333333,Yes,MY2022-23,TRABUCO,266,2161.9407973799575
L02-641-2,RANCHO SANTA MARGARITA,0.058666666666666666,0.339039,0.07033333333333333,0.23393690999999997,0.07033333333333333,6076.799999999999,NA,0.017329861111111112,NA,1497.3000000000002,NA,1497.3000000000002,RANCHO SANTA MARGARITA,99.41211166,926.34500026,920.8999402,1488.4975478851802,1488.4975478851802,0.9233333333333333,Yes,MY2022-23,TRABUCO,266,365584.9210775861
L02-641-2,RANCHO SANTA MARGARITA,0.058666666666666666,0.339039,0.07033333333333333,0.23393690999999997,0.07033333333333333,6076.799999999999,0.203,NA,17539.2,NA,NA,17539.2,ORANGE CO,0.587888306,926.34500026,5.44587874,103.110905765952,103.110905765952,0.9233333333333333,Yes,MY2022-23,TRABUCO,266,25324.72586215625
L02-641-2,RANCHO SANTA MARGARITA,0.058666666666666666,0.339039,0.07033333333333333,0.23393690999999997,0.07033333333333333,6076.799999999999,0.203,NA,17539.2,NA,NA,17539.2,RANCHO SANTA MARGARITA,99.41211166,926.34500026,920.8999402,17436.08908827072,17436.08908827072,0.9233333333333333,Yes,MY2022-23,TRABUCO,266,4282419.720673211
J01-9992-1 (J01P27),ALISO VIEJO,0.018,0.165159,0.032812596666666666,0.11395970999999999,0.032812596666666666,2835.008352,0.002,NA,172.79999999999998,NA,NA,172.79999999999998,ALISO VIEJO,99.70754793,553.84107572999994,552.2218442,172.29464282303996,172.29464282303996,0.8175,Yes,MY2022-23,SULPHURCREEK,279,39297.39287168602
J01-9992-1 (J01P27),ALISO VIEJO,0.018,0.165159,0.032812596666666666,0.11395970999999999,0.032812596666666666,2835.008352,0.002,NA,172.79999999999998,NA,NA,172.79999999999998,ORANGE CO,0.292452005,553.84107572999994,1.619720764,0.50535706464,0.50535706464,0.8175,Yes,MY2022-23,SULPHURCREEK,279,115.26310269575279
LC06-11509-2,LAGUNA BEACH,0.0055,0.045629,0.092214335,0.03148401,0.092214335,7967.318544,NA,NA,NA,NA,NA,7967.318544,LAGUNA BEACH,63.38208068,51.8633,32.87206771,5049.852267590682,5049.852267590682,1,Yes,MY2022-23,LAGUNABEACH,274,1383659.5213198469
LC06-11509-2,LAGUNA BEACH,0.0055,0.045629,0.092214335,0.03148401,0.092214335,7967.318544,NA,NA,NA,NA,NA,7967.318544,ORANGE CO,36.61792026,51.8633,18.99127863,2917.4663513021133,2917.4663513021133,1,Yes,MY2022-23,LAGUNABEACH,274,799385.780256779
L03-240-1 (L03P14),MISSION VIEJO,0.0185,0.025068,0.014,0.01729692,0.014,1209.6,NA,NA,NA,NA,NA,1209.6,MISSION VIEJO,98.89814948,343.94004359,340.1506391,1196.27201611008,1196.27201611008,1,Yes,MY2022-23,ELTORO,275,328974.80443027196
L03-240-1 (L03P14),MISSION VIEJO,0.0185,0.025068,0.014,0.01729692,0.014,1209.6,NA,NA,NA,NA,NA,1209.6,RANCHO SANTA MARGARITA,1.101850572,343.94004359,3.789708689,13.327984518911999,13.327984518911999,1,Yes,MY2022-23,ELTORO,275,3665.1957427007997
M02-061-6,SAN CLEMENTE,0,0.010425,0.006178949999999999,0.00719325,0.006178949999999999,533.8612799999999,NA,NA,NA,NA,NA,533.8612799999999,SAN CLEMENTE,100,40.9633321,40.96336831,533.8612799999999,533.8612799999999,0.885,Yes,MY2022-23,PALISADES,267,126148.75115759997
J07-9109-2,MISSION VIEJO,NA,0.068072,NA,0.04696967999999999,0.04696967999999999,4058.1803519999994,NA,NA,NA,NA,NA,4058.1803519999994,LAKE FOREST,1.91711778,201.64389276,3.865754338,77.80009707265859,77.80009707265859,0.77,Yes,MY2022-23,ELTORO,275,16474.170555135457
J07-9109-2,MISSION VIEJO,NA,0.068072,NA,0.04696967999999999,0.04696967999999999,4058.1803519999994,NA,NA,NA,NA,NA,4058.1803519999994,MISSION VIEJO,98.08288254,201.64389276,197.7783173,3980.380267913518,3980.380267913518,0.77,Yes,MY2022-23,ELTORO,275,842845.5217306874
M02-085-1 (M02P06),SAN CLEMENTE,0.01575,0.069651,0.05298186,0.04805919,0.05298186,4577.632704,NA,0.05750347222222222,NA,4968.299999999999,4772.9663519999995,4772.9663519999995,ORANGE CO,0.069288022,372.59706323,0.258165364,3.307093976026357,3.307093976026357,1,Yes,MY2022-23,PALISADES,267,882.9940915990373
M02-085-1 (M02P06),SAN CLEMENTE,0.01575,0.069651,0.05298186,0.04805919,0.05298186,4577.632704,NA,0.05750347222222222,NA,4968.299999999999,4772.9663519999995,4772.9663519999995,SAN CLEMENTE,99.93071197,372.59706323,372.3392272,4769.659257642136,4769.659257642136,1,Yes,MY2022-23,PALISADES,267,1273499.0217904504
L02-166-3 (L02P26),RANCHO SANTA MARGARITA,0.0468,0.166774,0.055444393333333335,0.11507405999999999,0.055444393333333335,4790.395584,NA,0.04134722222222222,NA,3572.3999999999996,4181.397792,4181.397792,ORANGE CO,0.561546905,494.68519995,2.777891884,23.48050988671434,23.48050988671434,0.77,Yes,MY2022-23,TRABUCO,266,4809.278034996831
L02-166-3 (L02P26),RANCHO SANTA MARGARITA,0.0468,0.166774,0.055444393333333335,0.11507405999999999,0.055444393333333335,4790.395584,NA,0.04134722222222222,NA,3572.3999999999996,4181.397792,4181.397792,RANCHO SANTA MARGARITA,99.43845321,494.68519995,491.907746,4157.917286921893,4157.917286921893,0.77,Yes,MY2022-23,TRABUCO,266,851624.6187073421
L01-404-1,ORANGE CO,0.03475,0.0852,0.0435,0.05878799999999999,0.0435,3758.3999999999996,NA,0.025203125,NA,2177.55,2967.975,2967.975,ORANGE CO,100,237.79044171,237.7906519,2967.975,2967.975,0.77,Yes,MY2022-23,TRABUCO,266,607900.6394999999
M01-050-4 (M01@CGV),SAN CLEMENTE,0.012,0.062131,0.065482035,0.042870389999999994,0.065482035,5657.647823999999,NA,0.03699420307291667,NA,3196.2991455,4426.973484749999,4426.973484749999,SAN CLEMENTE,100,105.0882966,105.0883895,4426.973484749999,4426.973484749999,1,Yes,MY2022-23,PALISADES,267,1182001.9204282498
L03-418-1,LAGUNA NIGUEL,0.007333333333333333,0.063426,0.008696104999999999,0.043763939999999994,0.008696104999999999,751.3434719999999,NA,NA,NA,NA,NA,751.3434719999999,LAGUNA NIGUEL,5.475663849,123.71430811,6.774185634,41.14104287812543,41.14104287812543,1,Yes,MY2022-23,SULPHURCREEK,279,11478.350962996996
L03-418-1,LAGUNA NIGUEL,0.007333333333333333,0.063426,0.008696104999999999,0.043763939999999994,0.008696104999999999,751.3434719999999,NA,NA,NA,NA,NA,751.3434719999999,MISSION VIEJO,94.52433574,123.71430811,116.9402313,710.2024260338528,710.2024260338528,1,Yes,MY2022-23,SULPHURCREEK,279,198146.47686344493
L03-693-1 (L03P11),MISSION VIEJO,0.027333333333333334,0.114855,0.03325967333333334,0.07924995,0.03325967333333334,2873.635776,NA,0.018729166666666668,NA,1618.1999999999998,2245.917888,2245.917888,MISSION VIEJO,100,279.81210476,279.8123521,2245.917888,2245.917888,1,Yes,MY2022-23,ELTORO,275,617627.4192
L03-241-4,MISSION VIEJO,0.007333333333333333,0.012278,0.007,0.00847182,0.007,604.8,NA,NA,NA,NA,NA,604.8,MISSION VIEJO,100,209.49721786,NA,604.8,604.8,0.885,Yes,MY2022-23,ELTORO,275,147193.19999999998
I01-11010-1,LAGUNA BEACH,0.0525,0.044262,0.06275,0.03054078,0.06275,5421.6,NA,NA,NA,NA,NA,5421.6,LAGUNA BEACH,100,12.1490758,12.14908654,5421.6,5421.6,1,Yes,MY2022-23,LAGUNABEACH,274,1485518.4000000001
L01-223-1 (L08TBN1),RANCHO SANTA MARGARITA,0.011666666666666667,0.053353,0.0175,0.03681357,0.0175,1512,NA,NA,NA,NA,NA,1512,ORANGE CO,4.285274231,136.87916674,5.865652846,64.79334637272,64.79334637272,0.77,Yes,MY2022-23,TRABUCO,266,13270.973204060509
L01-223-1 (L08TBN1),RANCHO SANTA MARGARITA,0.011666666666666667,0.053353,0.0175,0.03681357,0.0175,1512,NA,NA,NA,NA,NA,1512,RANCHO SANTA MARGARITA,95.71472594,136.87916674,131.0136351,1447.2066562128,1447.2066562128,0.77,Yes,MY2022-23,TRABUCO,266,296416.8673255057
L01-766-2 (L01S06),SAN JUAN CAPISTRANO,0.015,0.180442,0.14055575999999997,0.12450497999999999,0.14055575999999997,12144.017663999999,NA,0.07058019413541666,NA,6098.128773299999,9121.073218649999,9121.073218649999,SAN JUAN CAPISTRANO,99.99999998,245.40622496,245.4064419,9121.073216825784,9121.073216825784,0.885,Unknown,MY2022-23,PALISADES,267,2155263.9957698486
SC11-026-1 (M00P01),DANA POINT,0.008,0.092307,0.141325455,0.06369182999999999,0.141325455,12210.519311999999,NA,NA,NA,NA,NA,12210.519311999999,DANA POINT,67.05890861,305.38811884,204.7901206,8188.24098624048,8188.24098624048,0.635,Unknown,MY2022-23,PALISADES,267,1388275.3180121423
SC11-026-1 (M00P01),DANA POINT,0.008,0.092307,0.141325455,0.06369182999999999,0.141325455,12210.519311999999,NA,NA,NA,NA,NA,12210.519311999999,SAN CLEMENTE,31.34739098,305.38811884,95.73129226,3827.679229421046,3827.679229421046,0.635,Unknown,MY2022-23,PALISADES,267,648963.8749521913
SC11-026-1 (M00P01),DANA POINT,0.008,0.092307,0.141325455,0.06369182999999999,0.141325455,12210.519311999999,NA,NA,NA,NA,NA,12210.519311999999,SAN JUAN CAPISTRANO,1.593700313,305.38811884,4.866975708,194.59908449426942,194.59908449426942,0.635,Unknown,MY2022-23,PALISADES,267,32993.301780580914
M01-060-3,DANA POINT,0.4,0.766255,0.414446135,0.5287159499999999,0.414446135,35808.146064,NA,NA,NA,NA,NA,35808.146064,DANA POINT,0.059502384,4545.77136968,2.704844705,21.306700574282168,21.306700574282168,0.5133333333333333,Unknown,MY2022-23,PALISADES,267,2920.296380711114
M01-060-3,DANA POINT,0.4,0.766255,0.414446135,0.5287159499999999,0.414446135,35808.146064,NA,NA,NA,NA,NA,35808.146064,ORANGE CO,13.88784564,4545.77136968,631.310269,4972.980051914056,4972.980051914056,0.5133333333333333,Unknown,MY2022-23,PALISADES,267,681596.6459153405
M01-060-3,DANA POINT,0.4,0.766255,0.414446135,0.5287159499999999,0.414446135,35808.146064,NA,NA,NA,NA,NA,35808.146064,SAN CLEMENTE,68.75086744,4545.77136968,3125.260011,24618.411033182216,24618.411033182216,0.5133333333333333,Unknown,MY2022-23,PALISADES,267,3374199.4162079548
M01-060-3,DANA POINT,0.4,0.766255,0.414446135,0.5287159499999999,0.414446135,35808.146064,NA,NA,NA,NA,NA,35808.146064,SAN JUAN CAPISTRANO,17.30178443,4545.77136968,786.5002582,6195.448240372811,6195.448240372811,0.5133333333333333,Unknown,MY2022-23,PALISADES,267,849148.1358254974
M02-085-2,SAN CLEMENTE,0.0295,0.263549,0.39559931,0.18184880999999997,0.39559931,34179.780384,NA,0.22817708333333334,NA,19714.5,26947.140192,26947.140192,SAN CLEMENTE,100,199.86814555,199.8683222,26947.140192,26947.140192,1,Yes,MY2022-23,PALISADES,267,7194886.431264
K01-12032-2 (K01P11),LAGUNA NIGUEL,0.04,0.095233,0.1344035475,0.06571076999999999,0.1344035475,11612.466504,NA,0.186875,NA,16146,13879.233252,13879.233252,LAGUNA NIGUEL,100,126.84724993,126.8473621,13879.233252,13879.233252,0.885,Yes,MY2022-23,SULPHURCREEK,279,3426990.87841758
