"","Jurisdiction","Inspected","ObsWeather","FacilityID","AvgDischarge","ObsRecordDate","FlowContribution","FlowCondition","PersistentFlow","FlowConnectivity","IDIC","Priority","PrioritizationScore2022","Conductivity","FloatDischargeCFS","VolumeDischargeCFS","LastDischargeTrend","ScourWaterCondition","DissWaterCondition","Comments","TrashCondition","TrashLocation","SampleDry","SampleWet","OCFSLocation","MaintenanceIssue","PointY","PointX"
"197","Dana Point","Verified",1,"M01-168-1d (M00P03)",0,2023-05-25,"Small Fraction (<10%)","Flowing","Unknown","Direct Connection","None",,,10860,,,"Equal","Not present","Not present","14 oz in 30 sec","Not Present (0 Items)",,,,,"None",33.44539958,-117.65162851
"198","Dana Point","Verified",1,"M01-168-1d (M00P03)",0,2023-08-03,,"Dry","Unknown",,,,,,,,"Equal","Not present","Not present",,"Not Present (0 Items)",,,,,,33.44539958,-117.65162851
"199","Dana Point","Verified",1,"SC11-035-3d",0,2023-08-03,,"Dry","Unknown",,,,,,,,"Equal","Not present","Not present","Outfall completely collapsed and mostly buried.",,,,,,,33.45703154,-117.67112163
"200","Dana Point","Verified",1,"SC11-035-3d",0,2023-05-25,,"Dry","Unknown","None - Flow Infiltrates or Outfall is Dry",,,,,,,"Equal","Not present","Not present","Completely collapsed and metal is rusted and bent. Pipe is very clogged with debris.","Sparse (<10 Items)","Within area surrounding outfall",,,,"Other - See Comments",33.45703154,-117.67112163
"201","Laguna Beach","Verified",1,"DP04-12015-1",0.010065,2023-08-14,,"Flowing","Yes","None - Flow Infiltrates or Outfall is Dry","None","Not A Priority",,3410,,0.008,"Below Average Discharge","Not present","Not present","Fencing in photo is a hazard and could fall. 0.3L in 5 seconds about 25% of flow captured","Sparse (<10 Items)","In flow path of outfall",,,,"Damaged",33.50464905,-117.74744766
"202","Laguna Beach","Verified",1,"DP04-12015-1",0.010065,2023-07-06,,"Flowing","Yes","None - Flow Infiltrates or Outfall is Dry","None","Not A Priority",,,,,"Below Average Discharge","Not present","Not present","Flow from outfall too great to measure","Sparse (<10 Items)","Within area surrounding outfall",,,,"Damaged",33.50464905,-117.74744766
"203","Laguna Beach","Verified",1,"I01-11077-2",0,2023-07-07,,"Dry","Unknown","None - Flow Infiltrates or Outfall is Dry","None","Not A Priority",,,,,"Equal","Not present","Not present",,"Not Present (0 Items)",,,,,"Graffiti",33.56314232,-117.7678685
"204","Laguna Beach","Verified",1,"I01-11077-2",0,2023-09-20,,"Dry","Unknown",,"None","Not A Priority",,,,,"Equal","Not present","Not present",,"Not Present (0 Items)",,,,,,33.56314232,-117.7678685
"205","Rancho Santa Margarita","Verified",1,"L02-198-1 (L02P29)",0.009971,2023-06-12,,"Pooled or Ponded","Yes","None - Flow Infiltrates or Outfall is Dry","None","Priority",43,,,,"20% Or More Above Average Discharge","Not present","Not present","signs of recent flow in outfall but no flow today. ponded in area surrounding outfall. birds","Sparse (<10 Items)","Within area surrounding outfall",,,,"Graffiti",33.6089755,-117.62622119
"206","Rancho Santa Margarita","Verified",1,"L02-198-1 (L02P29)",0.009971,2023-08-11,"Small Fraction (<10%)","Flowing","Yes","Direct Connection","None","Priority",43,1502,0.016457,,"20% Or More Above Average Discharge",,"Brown ""tea"" tint","21.2 degrees C;","Not Present (0 Items)",,,,,"Overgrown",33.6089755,-117.62622119
"207","Dana Point","Verified",1,"L01-727-2",0,2023-09-06,,"Dry","Unknown","None - Flow Infiltrates or Outfall is Dry","None","Not A Priority",,,,,"Equal","Not present","Not present",,"Not Present (0 Items)",,,,,"None",33.47419329,-117.67973409
"208","Dana Point","Verified",1,"L01-727-2",0,2023-05-09,,"Dry","Unknown",,,"Not A Priority",,,,,"Equal","Not present","Not present",,"Not Present (0 Items)",,,,,,33.47419329,-117.67973409
"209","Mission Viejo","Verified",1,"L04-136-1u (L04P07)",0.228296,2023-09-28,,"Flowing","Yes","Partial - Significant Distance",,"Not A Priority",,3839,,,"Below Average Discharge","Not present","Green tint",,"Not Present (0 Items)",,,,,,33.6084557,-117.67902299
"210","Mission Viejo","Verified",1,"L04-136-1u (L04P07)",0.228296,2023-05-18,,"Flowing","Yes","Undetermined",,"Not A Priority",,5273,,,"Below Average Discharge","Not present","Not present",,"Sparse (<10 Items)","In flow path of outfall",,,,,33.6084557,-117.67902299
"211","Mission Viejo","Verified",1,"L03-662-1",0.022101,2023-07-13,"Small Fraction (<10%)","Flowing","Yes","Direct Connection",,"Not A Priority",,1789,0.01776,0.008,"Below Average Discharge","Brown ""tea"" tint","Not present","Outfall difficult to access; volumetric measurement is 4.27 liters in 20 seconds— 99.9% capture","Moderate (11-50 Items)","Within area surrounding outfall",,,,"None",33.61812771,-117.65020187
"212","Mission Viejo","Verified",1,"L03-662-1",0.022101,2023-09-25,"Small Fraction (<10%)","Flowing","Yes","Direct Connection",,"Not A Priority",,2490,0.018,0.004,"Below Average Discharge","Green tint","Not present",,"Sparse (<10 Items)","In flow path of outfall",,,,,33.61812771,-117.65020187
"213","San Clemente","Verified",1,"M01-124-2",0.017809,2023-05-23,"Small Fraction (<10%)","Flowing","Yes","Direct Connection",,"Priority",48,11320,0.006641,,"Below Average Discharge","Not present","Not present",,"Not Present (0 Items)",,,,,"None",33.45679407,-117.64220634
"214","San Clemente","Verified",1,"M01-124-2",0.017809,2023-08-01,"Small Fraction (<10%)","Flowing","Yes","Direct Connection",,"Priority",48,7106,,,"Below Average Discharge","Not present","Not present","Water is eroding the structure slightly, Volume is measured in gallons per minute","Not Present (0 Items)",,,,,,33.45679407,-117.64220634
"215","San Clemente","Verified",1,"M01-008-1",0,2023-08-01,,"Dry","Unknown",,,,,,,,"Equal","Not present","Not present",,"Moderate (11-50 Items)",,,,,,33.477835,-117.627728
"216","San Clemente","Verified",1,"M01-008-1",0,2023-05-23,"Small Fraction (<10%)","Other - See Comments","Unknown","None - Flow Infiltrates or Outfall is Dry",,,,,,,"Equal","Not present","Not present","No flow observed. Water stains appeared old and stagnant from previous flow. Appears there was human activity present.","Abundant (>50 Items)","In flow path of outfall",,,,"Graffiti",33.477835,-117.627728
"217","Laguna Hills","Verified",1,"J05-9800-2",0,2023-07-27,,"Dry","Unknown",,,"Not A Priority",,,,,"Equal","Not present","Not present",,"Not Present (0 Items)",,,,,"Overgrown",33.58919536,-117.70159449
"218","Laguna Hills","Verified",1,"J05-9800-2",0,2023-09-27,,"Dry","Unknown",,,"Not A Priority",,,,,"Equal","Not present","Not present",,,,,,,,33.58919536,-117.70159449
"219","Mission Viejo","Verified",1,"L03-240-1 (L03P14)",0.025068,2023-07-13,"Major Fraction (>50%)","Flowing","Yes","Direct Connection",,"Priority",46,2100,0.007523,0.004,"20% Or More Above Average Discharge","Brown ""tea"" tint","Yellow tint",,"Moderate (11-50 Items)","Within area surrounding outfall",,,,"None",33.61519068,-117.63707703
"220","Mission Viejo","Verified",1,"L03-240-1 (L03P14)",0.025068,2023-09-26,"Major Fraction (>50%)","Flowing","Yes","Direct Connection","None","Priority",46,1414,0.123664,0.024,"20% Or More Above Average Discharge","Odor","Yellow tint","Volumetric flow: 3.4L/5 seconds","Sparse (<10 Items)","Within area surrounding outfall",,,,"Graffiti",33.61519068,-117.63707703
"221","Laguna Niguel","Verified",1,"J03-9221-1 (J03P02)",0.242793,2023-08-08,,"Flowing","Yes","Undetermined",,"Priority",47,4291,0.36824,0.187,"20% Or More Above Average Discharge","Not present","Not present",,"Moderate (11-50 Items)","Within area surrounding outfall","Yes",,1,,33.54994727,-117.71717116
"222","Laguna Niguel","Verified",1,"J03-9221-1 (J03P02)",0.242793,2023-05-23,,"Flowing","Yes","Undetermined",,"Priority",47,5930,0.384,,"20% Or More Above Average Discharge","Brown ""tea"" tint","Brown ""tea"" tint",,"Sparse (<10 Items)","In flow path of outfall","Yes",,1,"None",33.54994727,-117.71717116
"223","Laguna Niguel","Verified",1,"J03-9221-1 (J03P02)",0.242793,2023-04-27,,"Flowing","Yes",,,"Priority",47,,0.443573,0.141,"20% Or More Above Average Discharge","Not present","Not present",,,,"Yes",,1,,33.54994727,-117.71717116
"224","Laguna Niguel","Verified",1,"J03-9216-1 (J03P01)",0.012897,2023-09-01,,"Pooled or Ponded","Unknown","Undetermined",,"Priority",43,,,,"Below Average Discharge","Not present","Not present",,"Moderate (11-50 Items)","Within area surrounding outfall",,,,"None",33.5307754,-117.70824728
"225","Laguna Niguel","Verified",1,"J03-9216-1 (J03P01)",0.012897,2023-06-27,,"Dry","Unknown",,,"Priority",43,,,,"Below Average Discharge","Not present","Not present",,"Sparse (<10 Items)","In flow path of outfall",,,,"None",33.5307754,-117.70824728
"226","Orange Co","Verified",1,"L05-049-1",0.996847,2023-06-27,"Minor Fraction (10 - 50%)","Flowing","Yes","Direct Connection","Other - see comments","Priority",65,2430,0.213953,0.128,"Below Average Discharge","Not present","Not present","Elevated turb called into Countywide compliance","Moderate (11-50 Items)","In flow path of outfall","Yes","Yes",,"None",33.53474971,-117.64618912
"227","Orange Co","Verified",1,"L05-049-1",0.996847,2023-08-16,"Minor Fraction (10 - 50%)","Flowing","Yes","Direct Connection",,"Priority",65,2264,0.220708,0.116,"Below Average Discharge","Not present","Not present",,"Sparse (<10 Items)","Within area surrounding outfall","Yes","Yes",,,33.53474971,-117.64618912
"228","Orange Co","Verified",2,"L05-049-1",0.996847,2022-12-12,,"Flowing","Yes",,,"Priority",65,882,16.8,,"Below Average Discharge","Not present","Not present","Turb is 32.4 NTU.  Stormflow pulled out bracket and strainer","Not Present (0 Items)",,"Yes","Yes",,,33.53474971,-117.64618912
"229","Orange Co","Verified",1,"L05-049-1",0.996847,2022-12-08,"Minor Fraction (10 - 50%)","Flowing","Yes","Direct Connection","None","Priority",65,3521,0.14,,"Below Average Discharge","Not present","Not present","Storm set up","Not Present (0 Items)",,"Yes","Yes",,"Graffiti",33.53474971,-117.64618912
"230","Dana Point","Verified",1,"L01-726-3",0,2023-08-08,"Small Fraction (<10%)","Dry","Unknown","None - Flow Infiltrates or Outfall is Dry","None","Not A Priority",,,,,"Equal","Not present","Not present",,"Not Present (0 Items)",,,,,"None",33.47522955,-117.67881868
"231","Dana Point","Verified",1,"L01-726-3",0,2023-06-06,,"Dry","Unknown","None - Flow Infiltrates or Outfall is Dry","None","Not A Priority",,,,,"Equal","Not present","Not present","outfall has pipe cover, which is closed. cover is rusty. hard water stains from past flow","Not Present (0 Items)",,,,,"None",33.47522955,-117.67881868
"232","Mission Viejo","Verified",1,"L03-172-3",,2023-08-28,,"Pooled or Ponded","Yes",,,,,,,,,,,,,,,,,,33.65111943,-117.6375105
"233","Mission Viejo","Verified",1,"L03-172-3",,2023-07-17,,"Pooled or Ponded","Yes","Undetermined","None",,,,,,,"Not present","Not present","Overgrown with vegetation. Outfall is inaccessible.","Not Present (0 Items)",,,,,"Overgrown",33.65111943,-117.6375105
"234","Laguna Beach","Verified",1,"I01-11023-3",0,2023-07-07,,"Dry","Unknown","None - Flow Infiltrates or Outfall is Dry","Trash","Not A Priority",,,,,"Equal","Not present","Not present","~35% submerged in sediment + rubbish + rocky debris","Abundant (>50 Items)","In flow path of outfall",,,,"Sediment",33.55073178,-117.77891633
"235","Laguna Beach","Verified",1,"I01-11023-3",0,2023-09-20,,"Dry","Unknown",,"None","Not A Priority",,,,,"Equal","Not present","Not present",,"Not Present (0 Items)",,,,,"None",33.55073178,-117.77891633
"236","Orange Co","Verified",1,"L02-374-2 (MVL02P20)",0.008624,2023-08-17,"Small Fraction (<10%)","Other - See Comments","Unknown","None - Flow Infiltrates or Outfall is Dry",,"Not A Priority",,,,,"Below Average Discharge","Not present","Brown ""tea"" tint","Extremely overgrown / multiple fallen trees obstructing path to outfall. Visualized outfall from above through the chain link fence - lots of stagnant water with sheen/oil on surface - could hear trickling water from above but too dangerous to collect measurements. Large beehive.",,,,,,"Overgrown",33.57276685,-117.64558911
"237","Orange Co","Verified",1,"L02-374-2 (MVL02P20)",0.008624,2023-06-01,,"Dry","Unknown","Unsafe to Access",,"Not A Priority",,,,,"Below Average Discharge","Not present","Not present","extremely overgrown, fallen trees across outfall path. copious graffiti. receiving water not visible","Sparse (<10 Items)","Within area surrounding outfall",,,,"Overgrown",33.57276685,-117.64558911
"238","Laguna Niguel","Verified",1,"L03-455-5",0.006815,2023-06-29,"Small Fraction (<10%)","Flowing","Unknown","Direct Connection","None","Priority",41,9030,,,"Below Average Discharge","Not present","Not present",".15L/15.72 sec","Sparse (<10 Items)","Within area surrounding outfall",,,,"None",33.54240864,-117.67505347
"239","Laguna Niguel","Verified",1,"L03-455-5",0.006815,2023-08-31,"Small Fraction (<10%)","Other - See Comments","Unknown","Direct Connection",,"Priority",41,5260,,,"Below Average Discharge","Not present","Not present","Flow too low to measure","Sparse (<10 Items)","Within area surrounding outfall",,,,"None",33.54240864,-117.67505347
"240","San Clemente","Verified",1,"SC02-072-4",,2023-08-03,,,"Unknown",,,,,,,,,"Not present","Not present","Not able to access outfall due to overgrown vegetation tried to access from path by railroad",,,,,,"Overgrown",33.399938,-117.60114
"241","San Clemente","Verified",1,"SC02-072-4",,2023-05-24,,"Other - See Comments","Unknown",,,,,,,,,"Not present","Not present","Not able to access outfall due to overgrown vegetation tried to access from path by railroad",,,,,,"Overgrown",33.399938,-117.60114
"242","Aliso Viejo","Verified",1,"J01-9082-4",0.023004,2023-08-09,,"Flowing","Yes",,"None","Priority",35,2702,0.015845,0.008,"Below Average Discharge","Not present","Not present",,"Sparse (<10 Items)","In flow path of outfall",,,,"None",33.58157074,-117.74572664
"243","Aliso Viejo","Verified",1,"J01-9082-4",0.023004,2023-04-27,,"Flowing","Yes",,,"Priority",35,,0.040926,0.021,"Below Average Discharge","Not present","Not present",,,,,,,,33.58157074,-117.74572664
"244","Aliso Viejo","Verified",1,"J01-9082-4",0.023004,2023-05-30,,"Flowing","Yes","Undetermined","None","Priority",35,1590,0.0462,0.023,"Below Average Discharge","Not present","Not present","Left .1, right .08","Sparse (<10 Items)","In flow path of outfall",,,,"None",33.58157074,-117.74572664
"245","Rancho Santa Margarita","Verified",1,"L02-166-3 (L02P26)",0.166774,2023-06-22,,"Flowing","Yes","Undetermined","Other - see comments","Priority",83,2292,0.09,0.04,"Below Average Discharge","Not present","Not present","Leaves and grass clippings dumped , lots of mud snails","Abundant (>50 Items)","In flow path of outfall","Yes",,1,"Graffiti",33.64461309,-117.61379535
"246","Rancho Santa Margarita","Verified",1,"L02-166-3 (L02P26)",0.166774,2022-11-21,,"Flowing","Yes","Undetermined","None","Priority",83,1802,0.122222,,"Below Average Discharge","Not present","Not present","Leaf litter in dissipator. Increased flow at 1104","Moderate (11-50 Items)","In flow path of outfall","Yes",,1,"Graffiti",33.64461309,-117.61379535
"247","Rancho Santa Margarita","Verified",1,"L02-166-3 (L02P26)",0.166774,2023-09-13,,"Flowing","Yes","Undetermined","None","Priority",83,1969,0.04033,0.042,"Below Average Discharge","Green tint","Clear",,"Abundant (>50 Items)","In flow path of outfall","Yes",,1,"Graffiti",33.64461309,-117.61379535
"248","Orange Co","Verified",1,"L02-344-1",0,2023-08-17,,"Dry","Unknown","None - Flow Infiltrates or Outfall is Dry","None","Not A Priority",,,,,"Equal","Not present","Not present","Pitfall is dry. Vegetation in the second half of the dissipator pond. Vegetation downstream.","Not Present (0 Items)",,,,,"None",33.59197631,-117.62868986
"249","Orange Co","Verified",1,"L02-344-1",0,2023-06-01,,"Dry","Unknown","None - Flow Infiltrates or Outfall is Dry",,"Not A Priority",,,,,"Equal","Not present","Not present","outfall is overgrown. abundant vegetation in dissipator. metal grate and wooden boards across the entrance of the outfall. lots of sediment and insect life","Moderate (11-50 Items)","In flow path of outfall",,,,"Graffiti",33.59197631,-117.62868986
"250","Mission Viejo","Verified",1,"L03-316-3 (L03P12)",0.2691,2023-05-18,"Minor Fraction (10 - 50%)","Flowing","Yes","Direct Connection","None","Priority",77,6084,0.725373,,"Below Average Discharge","Not present","Not present",,"Sparse (<10 Items)","In flow path of outfall","Yes",,1,"None",33.59602196,-117.65590225
"251","Mission Viejo","Verified",1,"L03-316-3 (L03P12)",0.2691,2023-08-02,"Small Fraction (<10%)","Flowing","Yes","Direct Connection",,"Priority",77,5363,0.223834,0.088,"Below Average Discharge","Green tint","Clear",,"Sparse (<10 Items)","In flow path of outfall","Yes",,1,,33.59602196,-117.65590225
"252","Orange Co","Verified",1,"L05-489-3d",1.889189,2023-06-27,"Major Fraction (>50%)","Flowing","Yes","Direct Connection",,,,5326,1.207154,,"Below Average Discharge","Green tint","Green tint",".96 cfs. Lrc:  .1, .1, .25;  13.22, 35,  3.25Sand and mud at outlet.  Flow measurement collected upstream of outlet, 50 m","Abundant (>50 Items)","Within area surrounding outfall",,,,"Sediment",33.52889781,-117.64662476
"253","Orange Co","Verified",1,"L05-489-3d",1.889189,2023-08-16,"Major Fraction (>50%)","Flowing","Yes","Direct Connection",,,,4457,0.837126,,"Below Average Discharge","Brown ""tea"" tint","Brown ""tea"" tint",,"Sparse (<10 Items)","In flow path of outfall",,,,"Sediment",33.52889781,-117.64662476
"254","San Clemente","Verified",1,"M01-038-6",0.013791,2023-08-01,,"Flowing","Unknown","Direct Connection",,"Priority",48,3280,,0.001,"Below Average Discharge","Not present","Not present",".53 Flow volume is measured in gallons per minute","Sparse (<10 Items)","Within area surrounding outfall",,,,"Graffiti",33.46494853,-117.63929889
"255","San Clemente","Verified",1,"M01-038-6",0.013791,2023-05-23,,"Other - See Comments","Unknown","Unsafe to Access",,"Priority",48,,,,"Below Average Discharge","Not present","Not present","Outfall inaccessible. Downstream RW observed from overhead street.","Not Present (0 Items)",,,,,,33.46494853,-117.63929889
"256","Laguna Niguel","Verified",1,"J03-9368-1 (J03TBN1)",0.005115,2023-04-27,,"Flowing","Yes",,,"Priority",45,,0.003375,0.014,"20% Or More Above Average Discharge","Not present","Not present",,,,,,,,33.5378206,-117.69749913
"257","Laguna Niguel","Verified",1,"J03-9368-1 (J03TBN1)",0.005115,2023-06-27,,"Flowing","Yes",,,"Priority",45,4480,0.008824,,"20% Or More Above Average Discharge","Not present","Not present","70 degrees outside","Not Present (0 Items)",,,,,"None",33.5378206,-117.69749913
"258","Laguna Niguel","Verified",1,"J03-9368-1 (J03TBN1)",0.005115,2023-09-01,,"Flowing","Yes","Direct Connection","None","Priority",45,2161,,,"20% Or More Above Average Discharge","Not present","Not present","Temp = 80.6 degrees F; trickle flow - flow too low to measure","Sparse (<10 Items)","Within area surrounding outfall",,,,"None",33.5378206,-117.69749913
"259","San Juan Capistrano","Verified",1,"L01-749-5",0.008383,2023-08-09,"Small Fraction (<10%)","Pooled or Ponded","Unknown","Direct Connection","None",,,,,,"Below Average Discharge","Not present","Not present","Outfall is clogged with sediment, dirt, and vegetation litter","Moderate (11-50 Items)","Within area surrounding outfall",,,,"Clogged",33.509183,-117.636421
"260","San Juan Capistrano","Verified",1,"L01-618-3",0,2023-08-07,,"Other - See Comments","Unknown",,,"Not A Priority",,,,,"Equal","Not present","Not present","Inaccessible. Overgrown brush on equestrian center. Poison oak and homeless encampments in creek bed when entering from the golf club side.",,,,,,,33.50155524,-117.65002116
"261","San Juan Capistrano","Verified",1,"L01-618-3",0,2023-05-19,,"Other - See Comments","Unknown","None - Flow Infiltrates or Outfall is Dry",,"Not A Priority",,,,,"Equal","Not present","Not present","Not reachable/access through vegetation. Intake is dry with debris inside.",,,,,,"Overgrown",33.50155524,-117.65002116
"262","San Juan Capistrano","Verified",1,"L01-748-1",0,2023-08-09,,"Dry","Unknown","None - Flow Infiltrates or Outfall is Dry","Trash","Not A Priority",,,,,"Equal","Not present","Not present","Leafy debris collected in catch basin within outfall flow path","Sparse (<10 Items)","In flow path of outfall",,,,"Sediment",33.50404847,-117.64283212
"263","San Juan Capistrano","Verified",1,"L01-748-1",0,2023-06-05,,"Dry","Unknown",,,"Not A Priority",,,,,"Equal","Not present","Not present",,,,,,,,33.50404847,-117.64283212
"264","Rancho Santa Margarita","Verified",1,"L02-622-1 (L02P28)",0.014251,2023-06-12,,"Dry","Unknown","Unsafe to Access","None","Not A Priority",,,,,"Below Average Discharge","Not present","Not present","vegetation overgrown in outfall path. inspection conducted from manhole upstream due to treacherous slope. confined space entry required. manhole structural conditions good. outfall cannot safely be accessed.","Sparse (<10 Items)","Within area surrounding outfall",,,,"Overgrown",33.63591715,-117.61577485
"265","Rancho Santa Margarita","Verified",1,"L02-622-1 (L02P28)",0.014251,2023-08-10,,"Other - See Comments","Unknown",,,"Not A Priority",,,,,"Below Average Discharge",,,"vegetation overgrown and dangerous slope conditions. inspection could not be conducted from manhole upstream due to requited confined space entry; outfall cannot safely be accessed.",,,,,,"Overgrown",33.63591715,-117.61577485
"266","Orange Co","Verified",1,"L01-733-7",0.069986,2023-08-15,"Small Fraction (<10%)","Flowing","Yes","Undetermined","None",,,2150,0.016891,,"Below Average Discharge","Not present","Not present","Temp 72°F","Moderate (11-50 Items)","Within area surrounding outfall",,,,"None",33.61548064,-117.58243899
"267","Orange Co","Verified",1,"L01-733-7",0.069986,2023-05-31,"Minor Fraction (10 - 50%)","Flowing","Yes","Direct Connection","None",,,1920,0.145455,,"Below Average Discharge","Not present","Not present",,"Not Present (0 Items)",,,,,"Graffiti",33.61548064,-117.58243899
"268","Laguna Beach","Verified",1,"I01-11093-1",0,2023-07-07,,"Dry","Unknown","None - Flow Infiltrates or Outfall is Dry","None","Not A Priority",,,,,"Equal","Not present","Not present","extremely thick algal masses in RW along channel","Not Present (0 Items)",,,,,"None",33.5586741,-117.77258129
"269","Dana Point","Verified",1,"L01-728-2",0.002166,2023-09-06,,"Pooled or Ponded","Yes","None - Flow Infiltrates or Outfall is Dry","None","Not A Priority",,,,,"20% Or More Above Average Discharge","Not present","Not present","Severe algal mats","Abundant (>50 Items)","Within area surrounding outfall",,,,"None",33.46469611,-117.68220511
"270","Dana Point","Verified",1,"L01-728-2",0.002166,2023-05-15,"Small Fraction (<10%)","Flowing","Yes","Direct Connection",,"Not A Priority",,1432,0.005202,,"20% Or More Above Average Discharge","Not present","Not present",,"Sparse (<10 Items)","In flow path of outfall",,,,,33.46469611,-117.68220511
"271","Mission Viejo","Verified",1,"L03-691-1 (L03P09)",0.31644,2023-09-25,"Small Fraction (<10%)","Pooled or Ponded","Yes","Partial - Significant Distance",,"Priority",39,2785,,0.097,"Below Average Discharge","Green tint","Not present","Sound of flowing water back in outfall.  Downstream flow path flowing to Oso Creek.","Sparse (<10 Items)","In flow path of outfall",,,,"Sediment",33.58531041,-117.66200706
"272","Mission Viejo","Verified",1,"L03-691-1 (L03P09)",0.31644,2023-06-26,"Small Fraction (<10%)","Flowing","Yes","Direct Connection","None","Priority",39,5073,0.10098,,"Below Average Discharge","Clear","Yellow tint","Tadpoles present, wet watermark present","Sparse (<10 Items)","In flow path of outfall",,,,"Graffiti",33.58531041,-117.66200706
"273","Mission Viejo","Verified",1,"L03-662-3 (L03P16)",0.16059,2023-08-02,"Minor Fraction (10 - 50%)","Flowing","Yes","Partial - Significant Distance",,"Priority",82,1905,0.114074,0.046,"Below Average Discharge","Not present","Clear",,"Not Present (0 Items)",,"Yes",,,,33.62464864,-117.64825079
"274","Mission Viejo","Verified",1,"L03-662-3 (L03P16)",0.16059,2023-05-18,,"Flowing","Yes","Undetermined","None","Priority",82,3405,0.378135,0.064,"Below Average Discharge","Not present","Brown ""tea"" tint","Yellow tint water","Sparse (<10 Items)","In flow path of outfall","Yes",,,"None",33.62464864,-117.64825079
"275","Dana Point","Verified",1,"SC10-075-1 (M00P05)",0.006323,2023-05-25,,"Pooled or Ponded","Yes","Direct Connection",,"Not A Priority",,,,,"Below Average Discharge","Not present","Not present","Large amounts of orange algae in outfall ponding some flow after outfall","Moderate (11-50 Items)","In flow path of outfall",,,,,33.45357005,-117.66495346
"276","Dana Point","Verified",1,"SC10-075-1 (M00P05)",0.006323,2023-08-03,"Small Fraction (<10%)","Flowing","Yes","Direct Connection","Surfactants","Not A Priority",,3337,,,"Below Average Discharge","Not present","Not present","Outfall has unquantifiable flow. Low flow is moving through ponded area with ample algae, brown slosh, and surfactant present. Outfall flows into second outfall, which flows into the ocean.","Not Present (0 Items)",,,,,,33.45357005,-117.66495346
"277","Laguna Hills","Verified",1,"J05-9271-6",0,2023-07-27,,"Dry","Unknown",,,"Not A Priority",,,,,"Equal","Not present","Not present","Locked gate and fence. No access","Not Present (0 Items)",,,,,,33.58731405,-117.70449132
"278","Laguna Hills","Verified",1,"J05-9271-6",0,2023-08-17,,"Dry","Unknown","None - Flow Infiltrates or Outfall is Dry",,"Not A Priority",,,,,"Equal","Not present","Not present",,"Not Present (0 Items)",,,,,,33.58731405,-117.70449132
"279","Orange Co","Verified",1,"L01-399-1",0,2023-08-17,,,"Unknown",,,,,,,,"Equal","Not present","Not present","Site inaccessible. Access to site blocked by barbed wire and a no trespassing sign. Saw the top of the outfall and did not see any vegetative indication of water below.",,,,,,,33.56325497,-117.54652304
"280","San Clemente","Verified",1,"SC03-067-1",0,2023-05-24,,"Dry","Unknown","None - Flow Infiltrates or Outfall is Dry",,"Not A Priority",,,,,"Equal","Not present","Not present",,"Not Present (0 Items)",,,,,"Graffiti",33.40519078,-117.60661214
"281","San Clemente","Verified",1,"SC03-067-1",0,2023-08-03,,"Dry","Unknown","None - Flow Infiltrates or Outfall is Dry",,"Not A Priority",,,,,"Equal","Not present","Not present",,"Moderate (11-50 Items)","Within area surrounding outfall",,,,"Sediment",33.40519078,-117.60661214
"282","Mission Viejo","Verified",1,"L04-266-5",0.458897,2023-08-03,"Major Fraction (>50%)","Flowing","Yes","Direct Connection","None","Priority",96,4935,0.505135,,"Above Average Discharge","Not present","Not present",,"Sparse (<10 Items)","In flow path of outfall","Yes",,1,"None",33.60731715,-117.66888026
"283","Mission Viejo","Verified",1,"L04-266-5",0.458897,2023-05-18,"Major Fraction (>50%)","Flowing","Yes","Direct Connection",,"Priority",96,5239,0.282188,,"Above Average Discharge","Not present","Not present","Turb is 2.88 NTU.  Bits of algae deposits suspend when walking in pipe","Sparse (<10 Items)","In flow path of outfall","Yes",,1,"None",33.60731715,-117.66888026
"284","Orange Co","Verified",1,"L01-733-5",0,2023-05-31,,"Dry","Unknown",,"None","Not A Priority",,,,,"Equal","Not present","Not present",,"Not Present (0 Items)",,,,,"None",33.62234264,-117.57674145
"285","Orange Co","Verified",1,"L01-733-5",0,2023-08-15,,"Dry","Unknown","None - Flow Infiltrates or Outfall is Dry","None","Not A Priority",,,,,"Equal","Not present","Not present",,"Not Present (0 Items)",,,,,"None",33.62234264,-117.57674145
"286","Orange Co","Verified",1,"L05-489-7",0.093075,2023-06-27,"Small Fraction (<10%)","Flowing","Yes",,,"Priority",51,3109,,0.019,"Above Average Discharge","Not present","Not present","Leaf litter.","Sparse (<10 Items)","In flow path of outfall",,,,,33.53268584,-117.64672397
"287","Orange Co","Verified",1,"L05-489-7",0.093075,2023-08-16,"Small Fraction (<10%)","Flowing","Yes","Direct Connection",,"Priority",51,2139,0.093782,0.043,"Above Average Discharge","Not present","Not present","Mud and leaf litter.  Animal foot print","Moderate (11-50 Items)","Within area surrounding outfall",,,,,33.53268584,-117.64672397
"288","Dana Point","Removed From Inventory",1,"L01-728-7 (L01S03)",0.147308,2023-08-08,"Minor Fraction (10 - 50%)","Flowing","Yes","Direct Connection",,"Not A Priority",,49860,,,"Below Average Discharge","Not present","Not present",,"Sparse (<10 Items)","Within area surrounding outfall",,,,"Sediment",33.46920039,-117.67964694
