Facility Identifier,Accessibility,GlobalID,Area (Acres),LOCDESC,SIZE1,LASTUPDATE,LASTEDITOR,SIZE2,SIZE3,CatchID,DrainID,INSPECTED,FACTYPE,JURISDICTI,MANAGEMENT,PRIORITY,FLOWMONITSTATUS,FLOWMONITDEPLOY,FLOWMONITRETURN,NEXTINSPECTION,POINT_X,POINT_Y,PERSISTENTFLOW,FACILITYID,SURVEYLINK,ACCESSIBILITY,FLOWMEASCOUNT,LASTDISCHARGE,LASTDISCHARGETREND,AVGFLOWWIDTH,AVGFLOWDEPTH,AVGFLOWVEL,AVGDISCHARGE,MAXDISCHARGE,MINDISCHARGE,PRIORITIZATIONSCORE2022,SAMPLECHWSRSDRY,SAMPLECHWSRSWET,SAMPLEDRY,SAMPLEWET,OCFSLOCATION
J01-9082-4,Easily accessible,{AFB6CBDA-AC92-4821-99CD-EDC47B411745},124.6607607,NA,42,2022-10-04T00:14:50Z,OCENVRESUSER,NA,NA,9082,J01,1,0,ALISO VIEJO,SOUTH,2,3,2016-06-09T07:00:00Z,2016-06-24T07:00:00Z,NA,-117.7457266,33.58157074,Yes,J01-9082-4,NA,1,19,0.015845,Below Average Discharge,0.65631578,0.04793878,14.85789473,0.023004,0.056,8.28E-04,35,NA,NA,NA,NA,NA
J01-9131-1 (J01P28),Difficult accessibility,{3F8450D4-0881-4A9D-829A-4B4707912F53},286.3860685,J01P28 - Treatment system ,96,2022-10-05T21:12:21Z,OCENVRESUSER,NA,NA,9131,J01,1,0,ALISO VIEJO,SOUTH,2,2,2016-05-26T07:00:00Z,NA,NA,-117.715865,33.57471343,Yes,J01-9131-1 (J01P28),NA,2,19,0.09,20% Or More Above Average Discharge,1.33263157,0.03944444,3.33315789,0.070401,0.336,0,51,NA,NA,1,NA,1
J01-9144-1 (J01P23),Easily accessible,{61303168-3951-41A3-9F99-5A1FBF0706F7},175.4581519,J01P23,96,2022-10-04T00:15:17Z,OCENVRESUSER,NA,NA,9144,J01,1,0,LAGUNA NIGUEL,SOUTH,2,NA,NA,NA,NA,-117.7189509,33.554894,Yes,J01-9144-1 (J01P23),NA,1,15,5.63E-04,Below Average Discharge,0.768,0.01703333,17.37333333,0.018688,0.146484,5.63E-04,52,NA,NA,NA,NA,NA
J01-9144-4 (J01P26),Easily accessible,{55C07C97-F5A8-4AD9-BDD6-F282EF1F22F5},193.4929599,J01P26,78,2022-10-03T23:33:10Z,OCENVRESUSER,NA,NA,9144,J01,1,0,ALISO VIEJO,SOUTH,1,NA,NA,NA,NA,-117.7186966,33.5591058,Unknown,J01-9144-4 (J01P26),NA,1,7,0,Below Average Discharge,1.00428571,0.04241071,66.85714285,0.003827,0.0105,0,NA,NA,NA,NA,NA,NA
J01-9224-1 (J01P24),Easily accessible,{0066DC99-7D9F-42BE-ABDB-C06A68E52A0F},222.4672653,J01P24 - Laguna Skate and Soccer Park at Alicia Pkwy,54,2022-10-05T20:57:52Z,OCENVRESUSER,NA,NA,9224,J01,1,0,LAGUNA NIGUEL,SOUTH,2,3,2016-07-20T07:00:00Z,2016-08-03T07:00:00Z,NA,-117.7177983,33.55648201,Yes,J01-9224-1 (J01P24),NA,1,24,0.009143,Below Average Discharge,1.0615,0.06420833,21.96833333,0.033535,0.126168,0.0014,62,NA,NA,1,NA,NA
J01-9224-2 (J01P25),Easily accessible,{7BFD7882-593A-4F10-AAF7-CC4B57726763},222.4672653,J01P25 - Laguna Niguel Skate and Soccer Park @ Alicia Pkwy,39,2022-10-05T20:57:52Z,OCENVRESUSER,NA,NA,9224,J01,1,0,LAGUNA NIGUEL,SOUTH,2,3,2016-07-27T07:00:00Z,2016-08-11T07:00:00Z,NA,-117.7176799,33.55761613,Yes,J01-9224-2 (J01P25),NA,1,23,0.108,Above Average Discharge,0.94826086,0.09097391,10.06260869,0.094586,0.23504,0.028649,79,NA,NA,1,NA,NA
J01-9259-3,Easily accessible,{E9D08FC2-7F70-4A86-8EF6-2A8BE2A5E6F4},140.7550576,NA,NA,2022-05-19T15:43:40Z,OCENVRESUSER,8,4,9359,J01,1,1,LAKE FOREST,SOUTH,1,NA,NA,NA,NA,-117.689955,33.62434247,Yes,J01-9259-3,NA,1,7,0.013396,20% Or More Above Average Discharge,0.67166666,0.01416666,16.43571428,0.00601,0.018,0,NA,NA,NA,NA,NA,NA
J01-9264-1 (J01P06),Easily accessible,{86AB9BCD-9766-418C-889A-A078524BE271},680.9305951,Daylight of Glass Creek,72,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,9264,J01,1,0,LAKE FOREST,SOUTH,1,NA,NA,NA,NA,-117.6540685,33.66346514,Yes,J01-9264-1 (J01P06),NA,1,1,0,Equal,9.17,0,0,0,0,0,NA,NA,NA,NA,NA,NA
J01-9273-1,Easily accessible,{1B614B52-1204-4A36-9937-3895C916CE39},30.68945533,J01ASVM; Aliso Creek Park and Wildlife Sanctuary in Laguna Woods,36,2022-10-05T21:17:15Z,OCENVRESUSER,NA,NA,9273,J01,1,0,LAGUNA WOODS,SOUTH,1,3,2017-02-23T16:05:17Z,2017-08-14T15:05:36Z,NA,-117.7073654,33.59989171,Yes,J01-9273-1,NA,1,6,0.004439,20% Or More Above Average Discharge,0.52166666,0.05854166,9.975,0.001426,0.004439,0,NA,NA,1,1,NA,NA
J01-9275-1,Easily accessible,{D1EBB0B7-3D03-4EE5-8D43-EF34E157DB50},27.09901317,NA,36,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,9275,J01,1,0,LAKE FOREST,SOUTH,1,NA,NA,NA,NA,-117.6613528,33.64907787,Unknown,J01-9275-1,NA,1,10,0,Below Average Discharge,0.03,0.01,0.6,0.003,0.03,0,NA,NA,NA,NA,NA,NA
J01-9275-2,Easily accessible,{8DD9934B-1D0A-4A08-9886-1E1C2EF93E40},42.7322098,NA,36,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,9275,J01,1,0,LAKE FOREST,SOUTH,1,NA,NA,NA,NA,-117.6606465,33.65086633,Unknown,J01-9275-2,NA,1,12,0.0216,20% Or More Above Average Discharge,0.025,0.0025,0.20833333,0.0018,0.0216,0,NA,NA,NA,NA,NA,NA
J01-9313-1,Inaccessible,{6C557F4D-24D0-4AC7-9549-68AEDF86E4E7},137.3766528,NA,54,2022-10-03T23:34:14Z,OCENVRESUSER,NA,NA,9313,J01,1,0,ALISO VIEJO,SOUTH,1,NA,NA,NA,NA,-117.7433926,33.56256131,Unknown,J01-9313-1,NA,5,1,0.05,Equal,1,0.05,6,0.05,0.05,0.05,NA,NA,NA,NA,NA,NA
J01-9349-1,Easily accessible,{0C4B2C1F-221A-4822-9ED8-4F1AF591803F},69.7067491,El Toro Rd and Raintree,36,2022-10-05T20:57:52Z,OCENVRESUSER,NA,NA,9349,J01,1,0,LAKE FOREST,SOUTH,1,NA,NA,NA,NA,-117.6658163,33.64412251,Unknown,J01-9349-1,NA,1,8,0.004286,Below Average Discharge,0.29,0.00875,7,0.005148,0.024,0,NA,NA,NA,NA,NA,NA
J01-9364-3 (J01P21),Easily accessible,{45DC9F7E-3DD3-44F6-A4A9-350A8C32653C},167.8733715,NA,66,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,9364,J01,1,0,ORANGE CO,SOUTH,1,NA,NA,NA,NA,-117.7212902,33.54985427,Yes,J01-9364-3 (J01P21),NA,1,1,3.673333,Equal,5.8,1.9,18,3.673333,3.673333,3.673333,NA,NA,NA,NA,NA,NA
J01-9364-4,Easily accessible,{51AB1EDB-AED9-40F1-83A8-6391511D250C},42.33257611,ACJ-pipe,42,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,9364,J01,1,0,ORANGE CO,SOUTH,1,NA,NA,NA,NA,-117.7272411,33.54433919,Unknown,J01-9364-4,NA,1,11,0,Equal,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
J01-9377-1,Easily accessible,{3B4E9F27-523C-4F6B-A986-26E060B631EF},34.4468196,NA,36,2022-10-05T20:57:52Z,OCENVRESUSER,NA,NA,9377,J01,1,0,LAKE FOREST,SOUTH,2,NA,NA,NA,NA,-117.6577684,33.65809197,Unknown,J01-9377-1,NA,1,11,0.002348,20% Or More Above Average Discharge,0.26,0.00863636,35.4090909,0.001816,0.012,0,22,NA,NA,1,NA,NA
J01-9377-2 (J01TBN8),Easily accessible,{0F35296A-ECE2-4C19-BD75-E6442A50F57C},98.41839547,J01TBN8,48,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,9377,J01,1,0,LAKE FOREST,SOUTH,1,NA,NA,NA,NA,-117.653411,33.66001815,Unknown,J01-9377-2 (J01TBN8),NA,1,10,0,Below Average Discharge,0.03,0.001,4.2,4.20E-05,4.29E-04,0,NA,NA,NA,NA,NA,NA
J01-9782-1 (J01TBN3),Easily accessible,{91E48869-6AD5-41B7-8A9B-640ED2238B02},30.80686795,J01TBN3,42,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,9782,J01,1,0,LAKE FOREST,SOUTH,1,NA,NA,NA,NA,-117.6769216,33.63275609,Unknown,J01-9782-1 (J01TBN3),NA,1,8,0.004835,20% Or More Above Average Discharge,0.11875,0.0075,3.61125,0.00112,0.004835,0,NA,NA,NA,NA,NA,NA
J01-9785-1,Easily accessible,{91338D15-19F3-4699-83FA-4C17B2C07214},21.25657462,El Toro Park - Muirlands and Los Alisos,60,2022-10-04T23:29:17Z,OCENVRESUSER,NA,NA,9785,J01,1,0,LAKE FOREST,SOUTH,1,NA,NA,NA,NA,-117.693665,33.61716175,Yes,J01-9785-1,NA,1,10,0.004704,Below Average Discharge,1.114,0.0198,37.26,0.005869,0.026959,0,NA,NA,NA,NA,NA,NA
J01-9992-1 (J01P27),Easily accessible,{DE6D1FF7-E755-41CE-9C57-7D26DD867CD5},553.8410757,J01P27; Woodfield Park,90,2022-10-05T21:16:40Z,OCENVRESUSER,NA,NA,9992,J01,1,0,ALISO VIEJO,SOUTH,2,NA,2018-03-13T16:36:46Z,NA,NA,-117.7166123,33.57325594,Yes,J01-9992-1 (J01P27),NA,1,31,0.087591,Below Average Discharge,1.52709677,0.07334193,7.47419354,0.165159,2.113636,0.033,66,NA,NA,1,1,1
J03-9215-1,Easily accessible,{58BF1710-6532-44A0-A4C2-487B6E14647C},65.12825351,NA,36,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,9215,J03,1,0,LAGUNA NIGUEL,SOUTH,1,NA,NA,NA,NA,-117.7056626,33.53115836,Yes,J03-9215-1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
J03-9215-3,Easily accessible,{096C0676-4771-492B-BAA6-AA39CD7F88A8},155.2875589,NA,54,2022-10-04T00:16:01Z,OCENVRESUSER,NA,NA,9215,J03,1,0,LAGUNA NIGUEL,SOUTH,2,3,2016-07-12T07:00:00Z,2016-07-26T07:00:00Z,NA,-117.7015748,33.53410231,Yes,J03-9215-3,NA,1,18,0.107143,20% Or More Above Average Discharge,0.66680555,0.03226666,4.12222222,0.04731,0.173684,0.00453,51,NA,NA,NA,NA,NA
J03-9216-1 (J03P01),Easily accessible,{B312B909-A14D-4AAA-BB21-74D113055A73},13.41168034,NA,36,2022-10-04T00:16:17Z,OCENVRESUSER,NA,NA,9216,J03,1,0,LAGUNA NIGUEL,SOUTH,2,NA,NA,NA,NA,-117.7082473,33.5307754,Unknown,J03-9216-1 (J03P01),NA,1,5,0.004125,Below Average Discharge,1.316,0.07866,50.4,0.012897,0.03,0.004125,43,NA,NA,NA,NA,NA
J03-9216-2,Easily accessible,{BDBAD671-CCD0-47D1-B121-7ED3242CBA94},1123.285969,J03P01in; 8x10 box channel in Crown Valley Park,NA,2022-10-05T21:19:07Z,OCENVRESUSER,96,120,9216,J03,1,1,LAGUNA NIGUEL,SOUTH,2,2,2017-03-17T00:00:00Z,NA,NA,-117.7100766,33.5280069,Yes,J03-9216-2,NA,1,25,4.473214,20% Or More Above Average Discharge,4.1256,0.17168,4.0808,1.560945,4.473214,0.03075,74,NA,NA,NA,1,1
J03-9216-5,Difficult accessibility,{17A4B537-06CB-4914-A505-354A1A88B51B},NA,2 18 inch pipes,36,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,9216,J03,1,0,LAGUNA NIGUEL,SOUTH,NA,NA,NA,NA,NA,-117.7097701,33.5281727,Yes,J03-9216-5,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
J03-9221-1 (J03P02),Easily accessible,{B349E3D1-F18C-44B9-A54D-9A854691EE96},565.7093729,J03P02.Alicia Parkway near Aliso and Wood Canyon Park ,72,2022-10-05T21:12:21Z,OCENVRESUSER,NA,NA,9221,J03,1,0,LAGUNA NIGUEL,SOUTH,2,3,2016-06-01T07:00:00Z,2016-06-15T07:00:00Z,NA,-117.7171712,33.54994727,Yes,J03-9221-1 (J03P02),NA,1,20,0.36824,20% Or More Above Average Discharge,1.265,0.083245,4.2635,0.242793,0.6,0.032,47,NA,NA,1,NA,1
J03-9234-5,Easily accessible,{0C213075-F3BE-4202-976F-D3228FB0F4F4},131.4996918,NA,48,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,9234,J03,1,0,LAGUNA NIGUEL,SOUTH,1,NA,NA,NA,NA,-117.7070197,33.51976015,Yes,J03-9234-5,NA,1,3,0.010824,Below Average Discharge,1.05333333,0.07,43,0.012591,0.0234,0.00355,NA,NA,NA,NA,NA,NA
J03-9234-6,Easily accessible,{7C898AE5-6408-40A7-9258-052F87B864B0},232.0907817,NA,78,2022-10-04T00:16:34Z,OCENVRESUSER,NA,NA,9234,J03,1,0,LAGUNA NIGUEL,SOUTH,2,3,2016-08-03T07:00:00Z,2016-08-17T07:00:00Z,NA,-117.7065275,33.5196409,Yes,J03-9234-6,NA,1,19,0.11152,Below Average Discharge,0.96789473,0.15729473,4.33105263,1.108261,16.5,0.024677,32,NA,NA,NA,NA,NA
J03-9234-8,Easily accessible,{8BA658D6-F310-40D7-B7B1-E1E606ACD5A0},NA,Upstream of J03P01in,78,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,9234,J03,1,0,LAGUNA NIGUEL,SOUTH,NA,NA,NA,NA,NA,-117.715433,33.51992,Yes,J03-9234-8,NA,1,8,0.075506,Below Average Discharge,1.30875,0.0875,2.705,0.344732,0.872727,0.075506,NA,NA,NA,NA,NA,NA
J03-9368-1 (J03TBN1),Easily accessible,{AAC8234A-5800-4230-971C-633C406E3E23},92.34354303,J03TBN1,48,2022-10-04T00:16:43Z,OCENVRESUSER,NA,NA,9368,J03,1,0,LAGUNA NIGUEL,SOUTH,2,NA,NA,NA,NA,-117.6974991,33.5378206,Yes,J03-9368-1 (J03TBN1),NA,1,18,0.008824,20% Or More Above Average Discharge,0.41258888,0.0110185,7.49944444,0.005115,0.0208,3.70E-05,45,NA,NA,NA,NA,NA
J03-9368-2 (J03TBN2),Easily accessible,{1C987AEE-54C0-42B5-B602-B59EEAD42C2F},34.23122305,J03TBN2,60,2022-10-04T00:16:56Z,OCENVRESUSER,NA,NA,9368,J03,1,0,LAGUNA NIGUEL,SOUTH,2,NA,NA,NA,NA,-117.6953827,33.5401077,Yes,J03-9368-2 (J03TBN2),NA,1,19,0.042857,20% Or More Above Average Discharge,0.62789473,0.02551752,5.46131578,0.02678,0.072,0.002133,49,NA,NA,NA,NA,NA
J04-9249-1,Easily accessible,{43A0D628-01FD-445E-A64B-B954122259BC},1643.454273,NA,NA,2022-10-04T00:17:17Z,OCENVRESUSER,14,12.5,9249,J04,1,1,LAGUNA NIGUEL,SOUTH,2,NA,NA,NA,NA,-117.7098633,33.55392245,Yes,J04-9249-1,NA,1,7,0,Below Average Discharge,11.21428571,0.73428571,104.2142857,1.180767,2.4,0,68,NA,NA,NA,NA,NA
J05-9255-1 (J05P01),Difficult accessibility,{E4A45859-C01A-4CBC-8954-294275402A42},70.04513345,J05P01,36,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,9255,J05,1,0,LAGUNA HILLS,SOUTH,1,NA,NA,NA,NA,-117.706386,33.584603,Yes,J05-9255-1 (J05P01),NA,2,1,0,Equal,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
J05-9271-6,Difficult accessibility,{9F5547EB-7FE3-461F-9EBD-E58B4219028B},NA,NA,36,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,9271,J05,1,0,LAGUNA HILLS,SOUTH,1,NA,NA,NA,NA,-117.7044913,33.58731405,Unknown,J05-9271-6,NA,2,1,0,Equal,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
J05-9800-2,Easily accessible,{B447E738-FF4A-4052-83BC-409EFD00CC89},25.47292658,NA,36,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,9800,J05,1,0,LAGUNA HILLS,SOUTH,1,NA,NA,NA,NA,-117.7015945,33.58919536,Unknown,J05-9800-2,NA,1,14,0,Equal,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
J06-10011-1 (J06P01),Easily accessible,{7C52C879-6B87-4321-BC5A-53A3242DD1D9},935.9012518,"dairy fork 96""",96,2022-10-05T21:12:21Z,OCENVRESUSER,NA,NA,10011,J06,1,0,ALISO VIEJO,SOUTH,2,3,2016-06-24T07:00:00Z,2016-07-11T07:00:00Z,NA,-117.7157622,33.59504096,Yes,J06-10011-1 (J06P01),NA,1,25,0.475604,Below Average Discharge,3.8052,0.568668,28.8292,0.588719,1.07625,0.021311,98,NA,NA,1,NA,1
J06-9079-1 (J06P03),Easily accessible,{53829E67-0A5F-46C8-B493-01AC3AA4C5CD},365.7871229,"dairy fork 78""",78,2022-10-05T21:12:21Z,OCENVRESUSER,NA,NA,9079,J06,1,0,ALISO VIEJO,SOUTH,2,3,2016-06-24T07:00:00Z,2016-07-11T07:00:00Z,NA,-117.7156422,33.59226263,Yes,J06-9079-1 (J06P03),NA,1,25,1.256075,20% Or More Above Average Discharge,1.15,0.06333332,5.064,0.140085,1.256075,0.013333,70,NA,NA,1,NA,1
J07-9022-1,Easily accessible,{02D8D354-0554-49DF-972A-8BC374B3901B},82.52382766,NA,30,2022-10-04T00:17:34Z,OCENVRESUSER,NA,NA,9022,J07,1,0,MISSION VIEJO,SOUTH,2,NA,NA,NA,NA,-117.6747725,33.62678091,Yes,J07-9022-1,NA,1,5,0.001125,Below Average Discharge,0.316,0.011,7.38,0.004493,0.018,0,41,NA,NA,NA,NA,NA
J07-9022-6,Easily accessible,{ED29B567-C00D-4966-8303-25068F8D1BA9},NA,121020Added,36,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,9022,J07,1,0,MISSION VIEJO,SOUTH,NA,NA,NA,NA,NA,-117.66624,33.628759,Unknown,J07-9022-6,NA,1,5,0.001214,Below Average Discharge,0.264,0.009,10.484,0.001776,0.0045,0,NA,NA,NA,NA,NA,NA
J07-9109-1,Easily accessible,{3908761B-6044-44D9-8A7D-054C86F6D560},NA,NA,36,2023-07-17T18:16:17Z,OCPWPublisher,NA,NA,9109,J07,1,0,MISSION VIEJO,SOUTH,2,NA,NA,NA,NA,-117.6591934,33.63979501,Yes,J07-9109-1,NA,1,7,0,Below Average Discharge,0.48428571,0.03714285,18.51428571,0.008731,0.04,0,34,NA,NA,NA,NA,NA
J07-9109-2,Easily accessible,{728A2E3D-7087-4CD0-B654-7272B31DFBFB},201.6438928,NA,48,2022-10-04T00:18:01Z,OCENVRESUSER,NA,NA,9109,J07,1,0,MISSION VIEJO,SOUTH,2,NA,NA,NA,NA,-117.6576127,33.64157324,Yes,J07-9109-2,NA,1,5,0,Below Average Discharge,0.7,0.136,20.4,0.068072,0.21,0,23,NA,NA,NA,NA,NA
J07-9109-4 (J07P02),Easily accessible,{D0C41BF9-0216-43F4-8129-6EAC01EF1A03},394.9257483,J07P02,78,2022-10-05T21:18:05Z,OCENVRESUSER,NA,NA,9109,J07,1,0,MISSION VIEJO,SOUTH,2,3,2016-10-12T07:00:00Z,2016-11-27T08:00:00Z,NA,-117.6557973,33.64644918,Yes,J07-9109-4 (J07P02),NA,1,26,0.107263,Below Average Discharge,0.97461538,0.10854346,5.7876923,0.186781,1.2375,0.012,54,NA,NA,NA,1,NA
J07-9110-1,Unsafe accessibility,{FF27122D-EC98-40FC-AE70-E4A3069DC586},102.1184919,NA,36,2022-10-03T23:38:54Z,OCENVRESUSER,NA,NA,9110,J07,1,0,MISSION VIEJO,SOUTH,1,NA,NA,NA,NA,-117.6635397,33.63470136,Yes,J07-9110-1,NA,3,3,0.004711,Below Average Discharge,0.33056666,0.0118,13.063,0.004715,0.009102,3.33E-04,NA,NA,NA,NA,NA,NA
J07-9110-2,Easily accessible,{E0B5BFB0-FF67-482C-B2DA-0715F995C4FF},133.3908863,NA,48,2022-10-04T00:18:11Z,OCENVRESUSER,NA,NA,9110,J07,1,0,MISSION VIEJO,SOUTH,2,NA,NA,NA,NA,-117.6622521,33.6360887,Yes,J07-9110-2,NA,1,15,0.125,20% Or More Above Average Discharge,0.44416666,0.01480553,22.98666666,0.012035,0.125,5.00E-04,45,NA,NA,NA,NA,NA
J07-9110-3,Easily accessible,{07F87B16-7752-4E0E-8F95-EF62C174A7F6},61.67998508,NA,36,2022-10-04T00:18:13Z,OCENVRESUSER,NA,NA,9110,J07,1,0,MISSION VIEJO,SOUTH,2,NA,NA,NA,NA,-117.6592759,33.63962029,Yes,J07-9110-3,NA,1,15,0.004258,Below Average Discharge,0.46821428,0.02804314,10.51266666,0.010083,0.051546,0,43,NA,NA,NA,NA,NA
K01-12032-2 (K01P11),Easily accessible,{E67A1268-C953-4917-B816-D1F3A4A6B507},126.8472499,K01P11,48,2022-10-04T00:18:17Z,OCENVRESUSER,NA,NA,12032,K01,1,0,LAGUNA NIGUEL,SOUTH,2,3,2016-08-03T07:00:00Z,2016-08-17T07:00:00Z,NA,-117.7177583,33.51685546,Yes,K01-12032-2 (K01P11),NA,1,17,0.053154,Below Average Discharge,0.82529411,0.0578125,5.26541176,0.095233,0.412639,0.0049,58,NA,NA,NA,NA,NA
K01-12036-1,Easily accessible,{492C91F2-212B-4A73-AC7B-107B61D9565F},137.8053185,NA,39,2022-10-03T23:39:54Z,OCENVRESUSER,NA,NA,12036,K01,1,0,LAGUNA NIGUEL,SOUTH,1,3,2016-07-29T07:00:00Z,2016-08-12T07:00:00Z,NA,-117.7188933,33.5071094,Yes,K01-12036-1,NA,1,16,0.037846,20% Or More Above Average Discharge,0.55,0.0328125,7.246875,0.021434,0.09,0.0042,NA,NA,NA,NA,NA,NA
K01-12036-10,Easily accessible,{27FDF89D-E07B-4D2F-B470-DABB97A9B098},185.3716507,NA,54,2022-10-04T00:18:22Z,OCENVRESUSER,NA,NA,12036,K01,1,0,LAGUNA NIGUEL,SOUTH,2,3,2016-08-12T07:00:00Z,2016-09-01T07:00:00Z,NA,-117.716748,33.51221718,Yes,K01-12036-10,NA,1,14,0.185915,20% Or More Above Average Discharge,0.59214285,0.01642857,12.56828571,0.017986,0.185915,0,22,NA,NA,NA,NA,NA
K01-12036-5,Easily accessible,{70D2A74D-50ED-4574-A929-01CB7DE7D000},28.07626103,NA,42,2022-10-04T00:18:24Z,OCENVRESUSER,NA,NA,12036,K01,1,0,LAGUNA NIGUEL,SOUTH,2,3,2016-07-29T07:00:00Z,2016-08-12T07:00:00Z,NA,-117.7180355,33.51166906,Yes,K01-12036-5,NA,1,15,0.166154,20% Or More Above Average Discharge,1.706,0.07933333,20.70933333,0.054304,0.166154,0.014,55,NA,NA,NA,NA,NA
K01-12058-1 (K01P08),Difficult accessibility,{4C787A96-7840-4AA0-A3A0-EED192734DC5},329.5213506,K01P08,72,2022-10-04T00:18:30Z,OCENVRESUSER,NA,NA,12058,K01,1,0,LAGUNA NIGUEL,SOUTH,2,3,2016-06-15T07:00:00Z,2016-06-30T07:00:00Z,NA,-117.69462,33.5113,Yes,K01-12058-1 (K01P08),NA,2,19,0.072,Below Average Discharge,0.78087894,0.0493421,2.32878947,0.166967,1.44,0.026667,67,NA,NA,NA,NA,NA
K01-12058-2 (K01P09),Difficult accessibility,{C0A795C3-4CA5-4BFE-8231-8B5C12D45F49},303.0524952,K01P09,72,2022-10-04T00:18:35Z,OCENVRESUSER,NA,NA,12058,K01,1,0,LAGUNA NIGUEL,SOUTH,2,3,2016-06-15T07:00:00Z,2016-06-30T07:00:00Z,NA,-117.6946013,33.51125335,Yes,K01-12058-2 (K01P09),NA,2,18,0.105,Below Average Discharge,0.80822222,0.04689998,2.86666666,0.12576,0.84,0.018,64,NA,NA,NA,NA,NA
K01-12062-1,Easily accessible,{DC0E267C-D89F-4834-A9CC-2BD31EFE7608},258.8411557,NA,72,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,12062,K01,1,0,LAGUNA NIGUEL,SOUTH,1,NA,NA,NA,NA,-117.6906816,33.50914725,Yes,K01-12062-1,NA,1,1,0.122807,Equal,1.75,0.04,3.42,0.122807,0.122807,0.122807,NA,NA,NA,NA,NA,NA
K01-12126-1 (K01S01),Difficult accessibility,{4B95CAAB-3599-40EF-9AEE-7EB6755113A0},885.2525289,K01S01,120,2022-10-05T21:12:21Z,OCENVRESUSER,NA,NA,12126,K01,1,0,DANA POINT,SOUTH,2,3,2016-05-25T07:00:00Z,2016-06-09T07:00:00Z,NA,-117.7198758,33.48403393,Yes,K01-12126-1 (K01S01),NA,2,25,0.126,Below Average Discharge,2.0584,0.10902916,3.5104,0.455348,0.822857,0.096067,78,NA,NA,1,NA,1
K01-12138-1 (K01TBN1),Easily accessible,{7ED3F0F9-CFEC-4D38-9A33-AE41DCBA38E4},90.83218137,K01TBN1,42,2022-10-04T00:18:45Z,OCENVRESUSER,NA,NA,12138,K01,1,0,LAGUNA NIGUEL,SOUTH,2,3,NA,NA,NA,-117.6971046,33.5119634,Yes,K01-12138-1 (K01TBN1),NA,1,12,0.01134,Below Average Discharge,0.77333333,0.021375,5.40833333,0.063607,0.40795,6.00E-04,18,NA,NA,NA,NA,NA
K01-12155-1,Easily accessible,{EBDB95ED-DC08-4DB5-AB03-DFC2113EF527},63.75808645,NA,36,2022-10-03T23:41:02Z,OCENVRESUSER,NA,NA,12155,K01,1,0,LAGUNA NIGUEL,SOUTH,1,3,2016-08-03T07:00:00Z,2016-08-17T07:00:00Z,NA,-117.7202203,33.49919589,Unknown,K01-12155-1,NA,1,7,0,Below Average Discharge,0.35,0.00714285,77.14285714,4.40E-04,0.0012,0,NA,NA,NA,NA,NA,NA
K01-12155-5,Inaccessible,{F833764D-81C4-470D-A336-B65195ACDDC4},147.0455502,NA,48,2022-10-03T23:41:15Z,OCENVRESUSER,NA,NA,12155,K01,1,0,LAGUNA NIGUEL,SOUTH,1,3,2016-08-03T07:00:00Z,2016-08-17T07:00:00Z,NA,-117.720053,33.50234645,Unknown,K01-12155-5,NA,2,13,0.019934,Below Average Discharge,0.69692307,0.05230769,4.38153846,0.061386,0.146939,0.006,NA,NA,NA,NA,NA,NA
K01-12156-1,Difficult accessibility,{5534FF00-8FE3-41EF-BF46-3A596527C17F},88.38784859,NA,42,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,12156,K01,1,0,LAGUNA NIGUEL,SOUTH,1,NA,NA,NA,NA,-117.71287,33.49693715,Yes,K01-12156-1,NA,2,1,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
K01-12156-3,Unsafe accessibility,{F7D4DE70-C4F6-4DB8-9F42-612475714A9C},130.1207396,NA,39,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,12156,K01,1,0,LAGUNA NIGUEL,SOUTH,1,NA,NA,NA,NA,-117.709474,33.50412766,Unknown,K01-12156-3,NA,3,2,0,Equal,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
